Subject,k,z1,z2,z3,zNW,a0/BA,a1/BS,x0,sz,nondectime,l,m1,m2,m3,mNW,BA,BS,x0.1,sz.1,nondectime.1,"LogLoss (nlDDM, train)","LogLoss (OU, train)","BIC (nlDDM, train)","BIC (OU, train)","LogLoss (nlDDM, test)","LogLoss (OU, test)","BIC (nlDDM, test)","BIC (OU, test)",# train samples,# test samples,CV
1.0,8.537030839263581,-0.9684224477233705,-0.8397928905595597,-0.7446526751962789,-0.8733901987965191,1.0186735209777318,1.1209536194088394,-0.36142206221007284,0.5504612917679392,0.28991289767347955,0.2214952401770398,0.9731519319732473,0.5776658034522996,0.3644465790233122,0.6470883688442248,0.18458516398378388,0.15634256057104703,0.03709179602361612,0.06342500074816751,0.3537283951436816,-704.4999575295587,-725.83576828129,-1335.6305459220414,-1378.302167425504,-156.6214128760282,-149.12858526995143,-253.7364002261792,-238.7507450140256,1536.0,384.0,2.0
3.0,5.4570081552252265,-0.884637519207488,-0.815788838603605,-0.7821039205120703,-0.8256883458156604,1.2177091879163973,1.490028295815557,-0.6820749928301649,0.29757206154671045,0.13191435002783736,0.11271702498737715,1.0615761700677706,0.8115002219904092,0.639946730861808,0.7812229576165594,0.2928594939327456,0.1698003869325356,-0.24838818779906857,0.03257221249025058,0.3151540031490094,-362.9212396507926,-263.3696282169861,-652.473110164509,-453.369887296896,-85.46079715760177,-44.15430521771466,-111.41516878932626,-28.802184909552047,1536.0,384.0,2.0
4.0,9.423582442192961,-0.9942774642235742,-0.8533335804679048,-0.6001564475531198,-0.861496085233713,0.9129575927640016,1.2358123196896007,-0.13031403329628627,0.920501997789601,0.31316850911022903,0.41545665307970586,1.3159082276758902,0.9832043510049774,0.6772036940298664,0.8587000130840247,0.2062012622281356,0.13068395935543795,-0.14718626812774832,0.05798046473346948,0.3234139055208042,-1087.3440298863543,-1099.3668577702383,-2101.323900665123,-2125.369556432891,-266.520834128086,-251.24753140859684,-473.5404578571088,-442.9938524181306,1535.2,383.8,2.0
5.0,7.703832871355234,-0.9757845676787594,-0.8522819039847827,-0.7766279902109949,-0.8527843238051842,1.2917727733931392,1.8253615198342197,-0.6307791714872326,0.49971257346760767,0.2592694636105447,1.1455982639996223,2.7984658370317144,2.4645220655791102,2.2782953950319973,2.381917891966209,1.1784973702674342,0.733060182022938,0.10227476735513888,0.09743957970919603,0.3045124463257873,-1131.8599933900373,238.7499836149469,-2190.3506176429983,550.8693363669697,-279.3215994960724,79.92408310791123,-499.1367734662675,219.35459174169972,1536.0,384.0,2.0
6.0,9.566827365543109,-0.864678422200506,-0.8092459491981071,-0.7585789959194906,-0.7997002010976848,1.0333073037772302,1.272645210571871,-0.6994537603540946,0.39492358386680937,0.17203996348605735,0.1,1.0535683582812538,0.8148810371679002,0.5789113860639138,0.7822836018544075,0.25186535424760803,0.17283251680301556,-0.3627165751764888,0.03031149694833594,0.24372223300823875,-395.6634655178801,-185.34715656181467,-717.9731996287098,-297.34058171657887,-87.60197603560923,1.9108823242348905,-115.71317192578367,63.31254479390456,1533.6,383.4,2.0
7.0,9.948492135613503,-0.7500112054811645,-0.6759012918859784,-0.6447614206735068,-0.7243771251677448,0.9399217265872466,1.0749490224177094,-0.6196271119705953,0.28202048168585947,0.10657247492814306,0.10091277869541246,0.8458577058082305,0.5716997088573559,0.40911494990924113,0.6373036780498879,0.23849589102764274,0.18190767501934849,-0.33735608655997495,0.01961887207286178,0.20733528753467728,-94.27075257417316,60.1995753104499,-115.19821164534096,193.7424441239052,-13.146453939933906,58.0014259700701,33.18744201193864,175.48320183194664,1532.0,383.0,2.0
8.0,4.953988746482571,-0.6150758886977976,-0.3506958464702687,-0.2699161551389136,-0.4992814077536584,0.9494503630187067,1.4799275753324825,-0.24750346693363454,0.6418541334877963,0.12023016393683124,0.1,0.6070417818548812,0.33941836469778364,0.17848488185826727,0.44335525692237426,0.3441024033996705,0.19700914134794506,-0.24295042382800852,0.024694814130560717,0.17854390710473725,837.0483235868896,886.0387664441166,1747.1323867303927,1845.1132724448464,214.13504496425094,230.7807533641025,487.4428777212391,520.7342945209422,1485.6,371.4,2.0
9.0,4.823611698614934,-0.9040426463161338,-0.751337218998134,-0.6434437879871913,-0.8101341804058582,1.1724990756583837,1.5867361993293456,-0.46505144366429063,0.7163820919206028,0.2820198643295436,0.11276776033945483,0.7385773473653655,0.6106757696030527,0.29102018508967,0.6507004848017086,0.26178843012135855,0.15134840694628085,-0.02210819964195336,0.021203201503098977,0.36922073510370795,-383.036550169116,-311.6153596684017,-692.7507167513467,-549.9083357499179,-66.0532755562987,-53.035201424038085,-72.64711626538349,-46.61096800086226,1528.8,382.2,2.0
10.0,7.326205479864136,-0.976682278939666,-0.7821587816471465,-0.6799019365042306,-0.8313585900519389,1.030078197200158,1.4033764838273104,-0.46784461467212574,0.803759350856706,0.2382227427256621,0.22851972995310751,1.1391292128886756,0.7675943058883788,0.5959592350225764,0.729018567091971,0.2453772152623536,0.14507284323107147,-0.19678948407177618,0.0533439663296611,0.28263914030810683,-686.5081401380532,-680.677749891787,-1299.6469111390304,-1287.9861306464977,-162.27324123494014,-147.3253033770978,-265.040056944003,-235.14418122831836,1536.0,384.0,2.0
11.0,9.60789887295817,-0.9825044953945469,-0.6964752140079795,-0.5856828776717465,-0.7305472871508696,0.9620786391787032,1.0420771853035573,-0.34606613459855995,0.7628532739845745,0.3072980744892667,0.1,1.4164407571259858,0.7801452392806729,0.5394257312416173,0.8277548323530415,0.20913964857859266,0.1401700288031489,-0.260789285710793,0.04406944580325062,0.3333479346789566,-668.4735702989708,-750.5003866711056,-1263.582981490356,-1427.6366142346255,-166.41894054304248,-176.04767482921105,-273.33667068702186,-292.594139259359,1535.2,383.8,2.0
12.0,9.986121889039252,-0.7934879988883243,-0.6326452556178026,-0.5808087971477761,-0.6706866062913377,0.8314659117920078,0.9780743055277721,-0.4871647161275227,0.38376927637610647,0.1545363402548845,0.10140414650892719,0.8960893555755624,0.5411696134106406,0.358685254150829,0.5688126259560529,0.240881526814757,0.1834398950107056,-0.23615917380501195,0.024414406392520998,0.25925159218665583,20.21655170776497,201.9953410734739,113.77117328139249,477.3287520128104,24.250870760076197,69.95066077721033,107.97686265081072,199.37644268507898,1531.2,382.8,2.0
13.0,7.420621519628059,-0.8401413933794959,-0.6974833116880015,-0.47978748540286553,-0.7508505818002795,0.7621793603631739,0.9811961967630246,-0.16482149255907402,0.6835731900099986,0.29445153549002495,0.12685824806000823,0.6375091179725771,0.5153525370064717,0.2761303831090913,0.4757969954468229,0.24755079933336321,0.16763899272888536,-0.09593594729276778,0.01959802679445902,0.32251996740273486,133.85514966939166,157.82395960517252,340.91159676672805,388.8492166382899,45.900438142227316,59.19953246613966,151.13922220796422,177.7374108557889,1510.4,377.6,2.0
14.0,3.164950061644395,-0.9310730811390565,-0.7917023894629723,-0.6832311090115558,-0.7395087013960209,1.306366907425804,1.7562457634634838,-0.4053320005526193,0.6505036130528276,0.19169851714775157,0.10273847634940633,0.8847451491190871,0.6413165183982684,0.4617000410585012,0.5425420473349728,0.30970201195134567,0.17979688880384898,-0.12448631825402193,0.01020004684505408,0.2833591166961547,-11.085984704896529,61.19782435756622,51.07688425533452,195.64450238026,9.59843023996896,52.30280600153549,78.58276272131421,163.99151424444727,1517.6,379.4,2.0
15.0,9.168020481589709,-0.807502345654655,-0.6923213253502226,-0.571367141919972,-0.6928026201599073,0.7366562613868252,1.0887461454731917,-0.434601864392424,0.5886718734697935,0.24604696538279272,0.1,0.8916591503050842,0.7092036038061306,0.47531263031539756,0.7011268701438341,0.3070405561922048,0.1654603699326706,-0.25464028322271537,0.01706714833610304,0.31012024522105003,-103.37614322798106,-105.2668403880275,-133.39855504891165,-137.17994936900453,-21.79052816120229,-7.820375112867635,15.909723823030202,43.850029919699516,1533.6,383.4,2.0
16.0,7.857643567396241,-0.7557392036215932,-0.6812141301906592,-0.6383543610055578,-0.6831032353000019,0.8513064279799375,1.0700574064348793,-0.5460213935821951,0.4172635389713424,0.11903916934336292,0.1098144888948728,0.7484050014015432,0.5802736632989421,0.4591213915569224,0.5653100780515838,0.29122774592033857,0.19769471257957266,-0.2894626809924578,0.02129190656532398,0.21761258668698596,259.8804290974267,331.97923007710517,593.0570431796788,737.2546451390357,67.40357340788827,115.8330314600843,194.24038303400334,291.0992991383954,1524.8,381.2,2.0
17.0,6.1435429646211945,-0.8893178584116802,-0.8173366068282345,-0.775765067121299,-0.7920316043899835,1.0306654265474802,1.30420892443981,-0.603072152593336,0.38959896313302605,0.18272525259746525,0.1,1.1689078651898146,0.9641164714488578,0.766254521854514,0.8826436388055654,0.3203827428529464,0.1905019764851445,-0.339651401607642,0.032332889399241324,0.301274093399076,-486.17051136474555,-392.77203187856094,-898.9768636219054,-712.1799046495363,-109.66085325569134,-80.1129368056693,-159.82049611231955,-100.72466321227549,1535.2,383.8,2.0
