Subject,k1,k2,z1,z2,z3,zNW,a0/BA,a1/BS,x0,sz,nondectime,vNW,v1,v2,v3,BA1,BA2,BS1,BS2,x0.1,sz.1,nondectime.1
1.0,7.649379601191027,9.086345999306438,-0.9441579654137746,-0.8154952243551037,-0.7135590265723251,-0.8407909632294999,1.15064546287061,1.283465589653546,-0.567745205141067,0.6545202379495599,0.2682806149691842,0.668523372909145,0.9321020254861376,0.5965484416263582,0.3761396587338971,0.2015113541791974,0.1560692632112388,0.1673606466345493,0.1494847549401703,0.0187387241824363,0.0312006238273092,0.3545974583838781
3.0,7.34061893811301,8.578991529702497,-0.8552069992395803,-0.7680063457370314,-0.734239408545856,-0.7811400544533463,0.8806020166887139,1.0980483483741323,-0.6016779087872381,0.2981406281609871,0.1505076360998783,0.723391852041515,0.995699637436112,0.7768638440470542,0.6316251660391197,0.3204788703105262,0.2681278806700858,0.179684660302317,0.1533943082240219,-0.1723716687915157,0.0295474967973611,0.3288450455744054
4.0,7.166552523629434,9.181389198129104,-0.984870495629828,-0.7976616246181104,-0.7034285009773332,-0.881860837997994,1.0289093375547436,1.372950504293502,-0.1877972581842627,0.9225620559269184,0.3144229287175177,0.8617076856484889,0.9956317778521708,0.938238566367817,0.6235613608716163,0.2297079024893505,0.1969144481736954,0.1539445414396791,0.1246557583323483,-0.0941914430426665,0.052078130308949,0.3213669931970659
5.0,8.231129700472263,8.53349248641591,-0.9632246044690386,-0.8386970120801452,-0.7854125138841386,-0.8347175457254526,1.086867990015696,1.449560475154097,-0.678450956698387,0.3669454391660192,0.237822905635542,0.9774875237870048,1.0,1.0,0.793287115898684,0.2605475849239838,0.276509091536058,0.1548482693441504,0.1439670467062845,-0.2596460873735288,0.0550291340344547,0.3101038956826784
6.0,8.82096729120042,9.42678905291179,-0.8739012669515076,-0.8220061509576357,-0.7746006604087342,-0.814551826193017,1.0928306190798445,1.3299999831816374,-0.7258453011101524,0.3717895874204501,0.1698686576734532,0.7874446791853077,1.0,0.818646497326729,0.5823714907080302,0.2550859289345416,0.2695163046566313,0.1969056420158087,0.1673870654722885,-0.3580279552480729,0.0282467377317685,0.2340585718865401
7.0,8.3951188684835,9.98695330657836,-0.722610767881875,-0.645667956854459,-0.6237889494055113,-0.6954587446689207,0.9670912459378468,1.1044343478254128,-0.5927826944558251,0.2772139498814772,0.1005310298659595,0.6166011728442043,0.8587348728886876,0.5800104223226417,0.4191215196373908,0.2516207530721807,0.2396779209699136,0.2135345986090963,0.1690784729135148,-0.3268383506814056,0.0077434069276721,0.2009314470821872
8.0,5.643204519388843,7.891116688976227,-0.6141333505075204,-0.4266453164211135,-0.3634490562605023,-0.503979830487388,0.6967716740526304,1.0781565185756294,-0.3567600573289221,0.4886529316414895,0.1113696713848267,0.454873614717975,0.6207377965962907,0.3469896006101631,0.1812453224388776,0.3892539284859528,0.3248920574317059,0.2187394608512577,0.1752360962533585,-0.2454981657121262,0.0324479209284561,0.1790300844051267
9.0,3.8077205335587534,4.506163668886648,-0.9348887189439165,-0.7576548262618615,-0.6586506604778098,-0.8352798460078533,1.212250808900572,1.6897299368499494,-0.3948094721138373,0.8297269151469697,0.3079963942407558,0.6687233820298217,0.7470198932507288,0.6029234464126221,0.3192294863223425,0.2825007561433992,0.2420724818676539,0.1582249036445775,0.1304822781751056,-0.0373675210950423,0.026854999179393,0.3672131241343683
10.0,5.470559713866122,6.219120767406128,-0.9796074928883444,-0.7523178352675094,-0.604004173602881,-0.8332834928532362,1.101266989066369,1.5084545911902487,-0.3781638704277567,0.8726453043896771,0.2503375396295296,0.6648224932582266,0.9774778927000444,0.7279444035245024,0.537311466058808,0.2258132027391474,0.2461208376147311,0.1591821698660477,0.1372388393683081,-0.1565875371302659,0.0735347702242224,0.282794628943958
11.0,8.924460064561588,9.934547779716848,-0.9895767751903576,-0.7914974456765169,-0.732551506898953,-0.8034331590836445,1.0614670778559991,1.309157611874889,-0.6078169025732141,0.6383694150165162,0.2699721702859701,0.7674179938906833,1.0,0.7164706910711512,0.4845358239847676,0.2199124867330343,0.1963380530595115,0.1437793364218197,0.1373214607899638,-0.1825156745158392,0.0459860222646575,0.3310610521122493
