Subject;k1;Fatigue stage;z1;z2;z3;zNW;a;Condition;x0 (nlDDM);nondectime (nlDDM);umixturecoef (nlDDM);vNW;v1;v2;v3;Bound;x0 (DDM);nondectime (DDM);umixturecoef (DDM)
1.0;9.656459902343112;1;-0.7987421747395418;-0.9486824590588656;-0.8588991671029306;-0.985937748149141;0.1696573787021713;accuracy;0.0587219459884315;0.3754775588782451;0.0122076203395627;0.7910735197842124;1.0;0.7102137207628826;0.3600503387505213;0.204522413046834;0.0009212159341118;0.3642705851163549;0.0139186963286516
3.0;1.469405916282419;1;-0.9289285336709846;-0.7809411538400924;-0.6884324791550931;-0.7509163510315755;1.2650000014883298;accuracy;0.0479611723316405;0.1237586486334401;0.0974422654605199;0.7499492499473978;1.0;0.7955348659316921;0.6014014694436544;0.3611807817459502;0.0015057142957705;0.3478103133000811;0.0250897488099948
4.0;9.412217817286102;1;-0.8259352228164045;-0.9057787768822794;-0.9091843494966252;-0.9822546615696156;0.1698095071280869;accuracy;0.0514614447782263;0.3577011412269965;0.0135333854030743;0.8355201061239479;1.0;0.8667955945836465;0.5821463764587812;0.2289256755720926;0.0019559291127109;0.337412050490734;0.004189772530728
5.0;3.21541970750693;1;-0.8438514215043703;-0.5426339578541494;-0.4288016425386816;-0.5067720625042911;1.1262946167106698;accuracy;0.0888453490427521;0.2135729003715359;0.0681671505063206;0.8762969338458612;1.0;0.920550489285059;0.6857500926306632;0.2678205314695661;0.0004591393379153;0.351011027161626;0.0134759461359079
6.0;9.99567710428438;1;-0.9967734979044072;-0.7791775301608964;-0.5603112432134179;-0.7693609523390887;0.6712613030508745;accuracy;0.0183430813383505;0.2844950733213309;0.0602062622767586;0.6333146156004432;0.9491386340442788;0.6621047087897372;0.4096273988856668;0.2270017551041103;0.0002267602904083;0.3221783882172663;0.031983152270701
7.0;9.84101144182153;1;-0.9395137220004558;-0.952095707433814;-0.8966192179617037;-0.9938356033308527;0.1994997988324707;accuracy;0.0133805099482977;0.2785926922839835;0.0094135480400425;0.4932631409099019;0.6917455270690807;0.404166483548548;0.2337393491997088;0.2244894265214828;0.0004127433267612;0.2838445857552728;0.0166326424696874
8.0;8.007403525894098;1;-0.9355235210844848;-0.3350930128793665;-0.0930357556835126;-0.3641623411343274;0.5499067166296028;accuracy;0.0110060245382273;0.3032225688730909;0.0647792265109174;0.4296966694945242;0.6650217333241746;0.3138218541041674;0.0971402602451542;0.3760581199357271;0.000940564288303;0.3303321946416156;0.0672049343427896
9.0;9.999454409328354;1;-0.9991216829368048;-0.9994993849437817;-0.9943201751790566;-0.9985129362494702;0.2849795501408754;accuracy;0.064227224784649;0.3966991620782104;0.0067302342638994;0.6708428061875775;1.0;0.6678461209567474;0.3584771954432294;0.2794764202854933;0.0005806346709743;0.3920941652514645;0.0166376808932721
10.0;4.217133332481149;1;-0.6219407865243745;-0.4576857053707347;-0.4327743458985281;-0.4930244795910476;1.0015107310214284;accuracy;0.0089335339763373;0.1396204205934713;0.0996678382378014;0.758191770601177;1.0;0.7160171503140605;0.5018361485149562;0.2468490176874374;0.0021359330865695;0.3142591672191204;0.0112910237247006
11.0;9.972861780603022;1;-0.9422647815371764;-0.9121348466674912;-0.9863407516385708;-0.981644993534184;0.1743791976396651;accuracy;0.0344021333975498;0.3725351279745581;0.0070545988700346;0.6589751263822774;1.0;0.5959056557033714;0.3629161601228735;0.2134810843412715;0.002177467022684;0.3630506386717689;0.0063476059138338
12.0;9.826957993756285;1;-0.9624464745960511;-0.905382798888926;-0.8789092625272231;-0.9962146374422308;0.2193246929546091;accuracy;0.0344629138979619;0.3288742449491199;0.010424510145485;0.5026365841005508;0.8387224387646439;0.4454732606789858;0.2538532422453921;0.2245200211803036;0.0018170834276618;0.3263347393722852;0.024158320991304
13.0;9.992747248913751;1;-0.9088382693437492;-0.9057541494173682;-0.964289141655265;-0.9516837671023628;0.2299521928974335;accuracy;0.0444050615959462;0.380922966746477;0.0289837905589177;0.5200285275804925;0.8031182515927223;0.4802879625341064;0.2607059221726661;0.2309789799906297;0.0010025233796403;0.373311223228983;0.0369890157329125
14.0;9.365851943837455;1;-0.9883500635631572;-0.6842206148141933;-0.5430907641355502;-0.506679836398795;0.5390073229622216;accuracy;0.0047764454741362;0.2141756800498418;0.0999836517443304;0.5124683668536023;1.0;0.6409686234197793;0.4489780561380561;0.2996549244238368;0.0012855288046944;0.3293555307912418;0.0167606044288775
15.0;9.921620118434236;1;-0.999910053101144;-0.9978133958189832;-0.545210823460456;-0.9415362567865058;0.4549624309704394;accuracy;0.0335071177799783;0.3515963929332547;0.0217919505988499;0.5926226814429745;0.7818617329144376;0.6023443701900836;0.3652422996899727;0.3225896961698453;0.0010823597517897;0.3571456685268035;0.0103744342731806
16.0;8.154056991582596;1;-0.967970365576837;-0.7979830217313673;-0.471379663917446;-0.7356208053238416;0.5684529613683349;accuracy;0.020226616897822;0.2761552529803693;0.0627278190521923;0.470064036284985;0.6893853437571894;0.4757798156797583;0.3428581675987635;0.2902573496672704;0.0022658641506706;0.2960701327973248;0.0198080193335808
17.0;3.5827819232853964;1;-0.8879516792431394;-0.7007287538723317;-0.6617382355063512;-0.6297602764577558;0.851015132546914;accuracy;0.0174036562864033;0.1830392584519908;0.0689370685780589;0.7803799953719321;1.0;0.8784227406538353;0.7424565569937899;0.3685644979273437;0.0013165612707203;0.3619141160632103;0.0220486655199339
1.0;9.973709927909054;2;-0.7987421747395418;-0.9486824590588656;-0.8588991671029306;-0.985937748149141;0.1696573787021713;accuracy;0.0587219459884315;0.3754775588782451;0.0122076203395627;0.7910735197842124;1.0;0.7102137207628826;0.3600503387505213;0.1515436546062059;0.0009212159341118;0.3642705851163549;0.0139186963286516
3.0;1.71897811628103;2;-0.9289285336709846;-0.7809411538400924;-0.6884324791550931;-0.7509163510315755;1.2650000014883298;accuracy;0.0479611723316405;0.1237586486334401;0.0974422654605199;0.7499492499473978;1.0;0.7955348659316921;0.6014014694436544;0.2832035178839405;0.0015057142957705;0.3478103133000811;0.0250897488099948
4.0;8.401746748482127;2;-0.8259352228164045;-0.9057787768822794;-0.9091843494966252;-0.9822546615696156;0.1698095071280869;accuracy;0.0514614447782263;0.3577011412269965;0.0135333854030743;0.8355201061239479;1.0;0.8667955945836465;0.5821463764587812;0.184901604351319;0.0019559291127109;0.337412050490734;0.004189772530728
5.0;3.340611963208897;2;-0.8438514215043703;-0.5426339578541494;-0.4288016425386816;-0.5067720625042911;1.1262946167106698;accuracy;0.0888453490427521;0.2135729003715359;0.0681671505063206;0.8762969338458612;1.0;0.920550489285059;0.6857500926306632;0.2747024671615849;0.0004591393379153;0.351011027161626;0.0134759461359079
6.0;9.851143249505276;2;-0.9967734979044072;-0.7791775301608964;-0.5603112432134179;-0.7693609523390887;0.6712613030508745;accuracy;0.0183430813383505;0.2844950733213309;0.0602062622767586;0.6333146156004432;0.9491386340442788;0.6621047087897372;0.4096273988856668;0.2316808377597116;0.0002267602904083;0.3221783882172663;0.031983152270701
7.0;9.998310552792526;2;-0.9395137220004558;-0.952095707433814;-0.8966192179617037;-0.9938356033308527;0.1994997988324707;accuracy;0.0133805099482977;0.2785926922839835;0.0094135480400425;0.4932631409099019;0.6917455270690807;0.404166483548548;0.2337393491997088;0.1919346127537991;0.0004127433267612;0.2838445857552728;0.0166326424696874
8.0;9.894671327795702;2;-0.9355235210844848;-0.3350930128793665;-0.0930357556835126;-0.3641623411343274;0.5499067166296028;accuracy;0.0110060245382273;0.3032225688730909;0.0647792265109174;0.4296966694945242;0.6650217333241746;0.3138218541041674;0.0971402602451542;0.2876294388598129;0.000940564288303;0.3303321946416156;0.0672049343427896
9.0;9.999549958019635;2;-0.9991216829368048;-0.9994993849437817;-0.9943201751790566;-0.9985129362494702;0.2849795501408754;accuracy;0.064227224784649;0.3966991620782104;0.0067302342638994;0.6708428061875775;1.0;0.6678461209567474;0.3584771954432294;0.2320498074272076;0.0005806346709743;0.3920941652514645;0.0166376808932721
10.0;4.5582819524740135;2;-0.6219407865243745;-0.4576857053707347;-0.4327743458985281;-0.4930244795910476;1.0015107310214284;accuracy;0.0089335339763373;0.1396204205934713;0.0996678382378014;0.758191770601177;1.0;0.7160171503140605;0.5018361485149562;0.2361436082980127;0.0021359330865695;0.3142591672191204;0.0112910237247006
11.0;9.958070820238142;2;-0.9422647815371764;-0.9121348466674912;-0.9863407516385708;-0.981644993534184;0.1743791976396651;accuracy;0.0344021333975498;0.3725351279745581;0.0070545988700346;0.6589751263822774;1.0;0.5959056557033714;0.3629161601228735;0.1822837363948118;0.002177467022684;0.3630506386717689;0.0063476059138338
12.0;9.924204367262863;2;-0.9624464745960511;-0.905382798888926;-0.8789092625272231;-0.9962146374422308;0.2193246929546091;accuracy;0.0344629138979619;0.3288742449491199;0.010424510145485;0.5026365841005508;0.8387224387646439;0.4454732606789858;0.2538532422453921;0.2091582826417433;0.0018170834276618;0.3263347393722852;0.024158320991304
13.0;9.998915505418267;2;-0.9088382693437492;-0.9057541494173682;-0.964289141655265;-0.9516837671023628;0.2299521928974335;accuracy;0.0444050615959462;0.380922966746477;0.0289837905589177;0.5200285275804925;0.8031182515927223;0.4802879625341064;0.2607059221726661;0.2253646273733624;0.0010025233796403;0.373311223228983;0.0369890157329125
14.0;9.912902760745393;2;-0.9883500635631572;-0.6842206148141933;-0.5430907641355502;-0.506679836398795;0.5390073229622216;accuracy;0.0047764454741362;0.2141756800498418;0.0999836517443304;0.5124683668536023;1.0;0.6409686234197793;0.4489780561380561;0.3068457621151883;0.0012855288046944;0.3293555307912418;0.0167606044288775
15.0;9.997571243007467;2;-0.999910053101144;-0.9978133958189832;-0.545210823460456;-0.9415362567865058;0.4549624309704394;accuracy;0.0335071177799783;0.3515963929332547;0.0217919505988499;0.5926226814429745;0.7818617329144376;0.6023443701900836;0.3652422996899727;0.2912012155864284;0.0010823597517897;0.3571456685268035;0.0103744342731806
16.0;9.96187229893069;2;-0.967970365576837;-0.7979830217313673;-0.471379663917446;-0.7356208053238416;0.5684529613683349;accuracy;0.020226616897822;0.2761552529803693;0.0627278190521923;0.470064036284985;0.6893853437571894;0.4757798156797583;0.3428581675987635;0.2695660632514687;0.0022658641506706;0.2960701327973248;0.0198080193335808
17.0;3.993574323953349;2;-0.8879516792431394;-0.7007287538723317;-0.6617382355063512;-0.6297602764577558;0.851015132546914;accuracy;0.0174036562864033;0.1830392584519908;0.0689370685780589;0.7803799953719321;1.0;0.8784227406538353;0.7424565569937899;0.3163262232906558;0.0013165612707203;0.3619141160632103;0.0220486655199339
1.0;9.656459902343112;1;-0.7987421747395418;-0.9486824590588656;-0.8588991671029306;-0.985937748149141;0.1389012967748453;speed;0.0587219459884315;0.3754775588782451;0.0122076203395627;0.7910735197842124;1.0;0.7102137207628826;0.3600503387505213;0.1402554467903446;0.0009212159341118;0.3642705851163549;0.0139186963286516
3.0;1.469405916282419;1;-0.9289285336709846;-0.7809411538400924;-0.6884324791550931;-0.7509163510315755;1.6000311486615366;speed;0.0479611723316405;0.1237586486334401;0.0974422654605199;0.7499492499473978;1.0;0.7955348659316921;0.6014014694436544;0.1835948328326781;0.0015057142957705;0.3478103133000811;0.0250897488099948
4.0;9.412217817286102;1;-0.8259352228164045;-0.9057787768822794;-0.9091843494966252;-0.9822546615696156;0.1190577312460305;speed;0.0514614447782263;0.3577011412269965;0.0135333854030743;0.8355201061239479;1.0;0.8667955945836465;0.5821463764587812;0.1416638735900637;0.0019559291127109;0.337412050490734;0.004189772530728
5.0;3.21541970750693;1;-0.8438514215043703;-0.5426339578541494;-0.4288016425386816;-0.5067720625042911;1.5657875299343047;speed;0.0888453490427521;0.2135729003715359;0.0681671505063206;0.8762969338458612;1.0;0.920550489285059;0.6857500926306632;0.1334410536413729;0.0004591393379153;0.351011027161626;0.0134759461359079
6.0;9.99567710428438;1;-0.9967734979044072;-0.7791775301608964;-0.5603112432134179;-0.7693609523390887;0.1449387711834608;speed;0.0183430813383505;0.2844950733213309;0.0602062622767586;0.6333146156004432;0.9491386340442788;0.6621047087897372;0.4096273988856668;0.1422222196598732;0.0002267602904083;0.3221783882172663;0.031983152270701
7.0;9.84101144182153;1;-0.9395137220004558;-0.952095707433814;-0.8966192179617037;-0.9938356033308527;0.1427616210415609;speed;0.0133805099482977;0.2785926922839835;0.0094135480400425;0.4932631409099019;0.6917455270690807;0.404166483548548;0.2337393491997088;0.1664838289281524;0.0004127433267612;0.2838445857552728;0.0166326424696874
8.0;8.007403525894098;1;-0.9355235210844848;-0.3350930128793665;-0.0930357556835126;-0.3641623411343274;0.1476903165917011;speed;0.0110060245382273;0.3032225688730909;0.0647792265109174;0.4296966694945242;0.6650217333241746;0.3138218541041674;0.0971402602451542;0.1634333363550865;0.000940564288303;0.3303321946416156;0.0672049343427896
9.0;9.999454409328354;1;-0.9991216829368048;-0.9994993849437817;-0.9943201751790566;-0.9985129362494702;0.1448460015249097;speed;0.064227224784649;0.3966991620782104;0.0067302342638994;0.6708428061875775;1.0;0.6678461209567474;0.3584771954432294;0.1431778491104617;0.0005806346709743;0.3920941652514645;0.0166376808932721
10.0;4.217133332481149;1;-0.6219407865243745;-0.4576857053707347;-0.4327743458985281;-0.4930244795910476;1.2174857515257105;speed;0.0089335339763373;0.1396204205934713;0.0996678382378014;0.758191770601177;1.0;0.7160171503140605;0.5018361485149562;0.1498850956610281;0.0021359330865695;0.3142591672191204;0.0112910237247006
11.0;9.972861780603022;1;-0.9422647815371764;-0.9121348466674912;-0.9863407516385708;-0.981644993534184;0.1102868352765966;speed;0.0344021333975498;0.3725351279745581;0.0070545988700346;0.6589751263822774;1.0;0.5959056557033714;0.3629161601228735;0.1280458884004912;0.002177467022684;0.3630506386717689;0.0063476059138338
12.0;9.826957993756285;1;-0.9624464745960511;-0.905382798888926;-0.8789092625272231;-0.9962146374422308;0.1491120494630733;speed;0.0344629138979619;0.3288742449491199;0.010424510145485;0.5026365841005508;0.8387224387646439;0.4454732606789858;0.2538532422453921;0.161242837999669;0.0018170834276618;0.3263347393722852;0.024158320991304
13.0;9.992747248913751;1;-0.9088382693437492;-0.9057541494173682;-0.964289141655265;-0.9516837671023628;0.1383277714409811;speed;0.0444050615959462;0.380922966746477;0.0289837905589177;0.5200285275804925;0.8031182515927223;0.4802879625341064;0.2607059221726661;0.1490708447315457;0.0010025233796403;0.373311223228983;0.0369890157329125
14.0;9.365851943837455;1;-0.9883500635631572;-0.6842206148141933;-0.5430907641355502;-0.506679836398795;0.7600139763886307;speed;0.0047764454741362;0.2141756800498418;0.0999836517443304;0.5124683668536023;1.0;0.6409686234197793;0.4489780561380561;0.1706131850159595;0.0012855288046944;0.3293555307912418;0.0167606044288775
15.0;9.921620118434236;1;-0.999910053101144;-0.9978133958189832;-0.545210823460456;-0.9415362567865058;0.1448499468699409;speed;0.0335071177799783;0.3515963929332547;0.0217919505988499;0.5926226814429745;0.7818617329144376;0.6023443701900836;0.3652422996899727;0.1543836709764156;0.0010823597517897;0.3571456685268035;0.0103744342731806
16.0;8.154056991582596;1;-0.967970365576837;-0.7979830217313673;-0.471379663917446;-0.7356208053238416;0.1646978988984231;speed;0.020226616897822;0.2761552529803693;0.0627278190521923;0.470064036284985;0.6893853437571894;0.4757798156797583;0.3428581675987635;0.1805758324419488;0.0022658641506706;0.2960701327973248;0.0198080193335808
17.0;3.5827819232853964;1;-0.8879516792431394;-0.7007287538723317;-0.6617382355063512;-0.6297602764577558;1.1206734393225453;speed;0.0174036562864033;0.1830392584519908;0.0689370685780589;0.7803799953719321;1.0;0.8784227406538353;0.7424565569937899;0.183780219009174;0.0013165612707203;0.3619141160632103;0.0220486655199339
