,B (DDM),v (DDM),x0 (DDM),sz (DDM),k,z,a/B,x0,sz
0,1.0,0.2,0.0,0.0,0.10095242737068766,-0.9852391852926842,4.144930112702206,-0.5054520361159982,0.29535983873494454
1,1.0,0.2,0.0,0.010101010101010102,0.10223187925873489,-0.9792480667971754,3.5249293662558405,-0.19105508999387488,0.3207823519073465
2,1.0,0.2,0.0,0.020202020202020204,0.5669909738834379,-0.7821298448570313,1.9869999950568313,-0.5570184180493036,0.022310189935593305
3,1.0,0.2,0.0,0.030303030303030304,0.1,-0.8982827941865829,3.326999941813666,0.08340330150353759,0.42037445414010577
4,1.0,0.2,0.0,0.04040404040404041,0.1,-0.9512123381556579,3.6709999158750963,-0.20947713063881934,0.3494969576647067
5,1.0,0.2,0.0,0.05050505050505051,0.10012822632428531,-0.9727443972906324,3.875965015391202,-0.32484842088384436,0.3619144199774702
6,1.0,0.2,0.0,0.06060606060606061,0.1000884509867781,-0.9191120177574944,3.529839453251569,-0.09996709441049823,0.3651352838567339
7,1.0,0.2,0.0,0.07070707070707072,0.10010740218189515,-0.9664240679034403,4.061999988208028,-0.38834335991247093,0.35972219850086584
8,1.0,0.2,0.0,0.08080808080808081,0.10005540144027325,-0.9787446157043196,3.889957509899688,-0.3652336363530163,0.3401300642552316
9,1.0,0.2,0.0,0.09090909090909091,1.644434826603661,-0.8423179765992337,0.9082993711427501,-0.3226438854497794,0.1665244756985791
10,1.0,0.2,0.0,0.10101010101010102,0.1000716094436612,-0.9833282105723962,3.667999995112178,-0.27546845117362473,0.339012379882927
11,1.0,0.2,0.0,0.11111111111111112,1.2399946671298445,-0.9980596047566002,1.1157488433714966,-0.5008443237829456,0.01850427547368727
12,1.0,0.2,0.0,0.12121212121212122,0.10010737683498583,-0.999486484641519,3.900952317600378,-0.387742520412378,0.3474417395479348
13,1.0,0.2,0.0,0.13131313131313133,0.10124909582537533,-0.9946616911758169,4.08382160499324,-0.5530436053660994,0.2172621945170108
14,1.0,0.2,0.0,0.14141414141414144,0.1,-0.9366725177605685,3.7099999737295826,-0.27806433862937374,0.3194373661856562
15,1.0,0.2,0.0,0.15151515151515152,0.276252719063334,0.5362493449187278,4.30599998802572,0.5904890701178132,0.023408328231422804
16,1.0,0.2,0.0,0.16161616161616163,0.10056179649284314,-0.9473824992895314,3.7379683246980164,-0.20172198741262237,0.3772510141398222
17,1.0,0.2,0.0,0.17171717171717174,0.3757928109392976,0.5154679638042634,3.573646516501951,0.573699099566521,0.027231553711439815
18,1.0,0.2,0.0,0.18181818181818182,1.244505040345567,-0.8593327313007124,1.1429444176896393,-0.4499228497330078,0.02993569009899022
19,1.0,0.2,0.0,0.19191919191919193,0.10010385181473304,-0.9265148235930699,3.7699999975338363,-0.2944757792688165,0.32159728716875424
20,1.0,0.2,0.0,0.20202020202020204,0.10003823688846403,-0.9621623792408704,3.5894761202836594,-0.06958155210503247,0.42463323511252526
21,1.0,0.2,0.0,0.21212121212121213,1.3150560572824246,-0.9958424373009209,0.9669999929137683,-0.35207105043788645,0.2210589497145803
22,1.0,0.2,0.0,0.22222222222222224,0.10081058807431909,-0.8081805201951474,3.336595869449939,0.16745476052368158,0.4591725513353777
23,1.0,0.2,0.0,0.23232323232323235,0.10043773057059457,-0.9742791526629946,3.728971691697243,-0.24808502897244,0.34871373213012724
24,1.0,0.2,0.0,0.24242424242424243,0.20194134336363057,-0.9703866353936857,2.26974821264061,0.051457446885196934,0.31592937357937734
25,1.0,0.2,0.0,0.25252525252525254,1.369972705335948,-0.490154412189751,1.18599986702448,-0.2003089821664168,0.005031574621290114
26,1.0,0.2,0.0,0.26262626262626265,0.9847160586331851,-0.9488012595735814,1.2077187111606003,-0.44719240509550695,0.13156578621148207
27,1.0,0.2,0.0,0.27272727272727276,0.4705108895184215,0.4032565498179043,3.069999976195239,0.46935160516452945,0.029956874028449043
28,1.0,0.2,0.0,0.2828282828282829,1.2755312715342844,-0.9571466870199572,1.1418206650666511,-0.5121841227819288,0.06334444257089644
29,1.0,0.2,0.0,0.29292929292929293,1.6958136670613988,-0.9630737569886317,0.9369426092682156,-0.4142728690123463,0.001663383518260897
30,1.0,0.2,0.0,0.30303030303030304,0.50797764225412,0.3437228307807383,2.6519997673454143,0.4324319723876089,0.027361657113333937
31,1.0,0.2,0.0,0.31313131313131315,1.6886270294271015,-0.9977189151487709,0.8406957584185877,-0.32526731115656016,0.2983207515812367
32,1.0,0.2,0.0,0.32323232323232326,1.3400281578162592,-0.29206540758849403,1.182999969726998,-0.019297199245788765,0.11455135047163001
33,1.0,0.2,0.0,0.33333333333333337,1.528966698264465,-0.9307205042881841,0.9365944220784401,-0.3396076446884049,0.17564770256402995
34,1.0,0.2,0.0,0.3434343434343435,0.10087014043995435,-0.9676422597317744,3.187899474501603,0.17071035089805164,0.5065016130668571
35,1.0,0.2,0.0,0.3535353535353536,0.10022129548297258,-0.9594968511192031,3.509999983991,0.06338619122416489,0.4847362637123469
36,1.0,0.2,0.0,0.36363636363636365,1.3395265703089987,-0.8008633318124214,1.0689999955482656,-0.27143670393244956,0.24380713522746889
37,1.0,0.2,0.0,0.37373737373737376,1.5530272314553664,-1.0,0.9699999791582516,-0.41409962137289924,0.06757699926335925
38,1.0,0.2,0.0,0.38383838383838387,1.5281250638935857,-0.9860563766945993,1.0221504369215912,-0.48239936442230813,0.053172992594186175
39,1.0,0.2,0.0,0.393939393939394,0.10068982775314517,-0.9553869366291802,3.5189760477067717,-0.005984988682535608,0.38705821439179355
40,1.0,0.2,0.0,0.4040404040404041,0.10008248268341013,-0.9328223081532705,3.4189620570955137,0.15685649657281742,0.6448647426919791
41,1.0,0.2,0.0,0.4141414141414142,0.1010487907049118,-0.9420708367990602,3.6979828011790277,-0.12591213360063358,0.38900687969336656
42,1.0,0.2,0.0,0.42424242424242425,2.5944372813698022,-0.5264602699556327,0.917211984780141,-0.28125567182403355,0.0842264575732139
43,1.0,0.2,0.0,0.43434343434343436,1.696470317563879,-0.6717279792687534,0.9876193472113872,-0.2570441196347578,0.14689572251740546
44,1.0,0.2,0.0,0.4444444444444445,0.31698985208524366,0.6623387589496299,4.996277281669435,0.6979695644844648,0.021987134734898994
45,1.0,0.2,0.0,0.4545454545454546,2.7850544438325255,-0.36929220791330825,0.9020000294845515,-0.17634550626142476,0.07087031047633885
46,1.0,0.2,0.0,0.4646464646464647,2.1136648946037218,-0.997572251069426,0.817999983005801,-0.406679945798717,0.03749545205120097
47,1.0,0.2,0.0,0.4747474747474748,0.8095759310771857,0.6192158154118992,2.567578657436206,0.6871195250012634,0.04976791134002401
48,1.0,0.2,0.0,0.48484848484848486,0.802944211569476,0.5135506738150084,2.41700000131987,0.6010063720913343,0.2018946891354434
49,1.0,0.2,0.0,0.494949494949495,2.2166196319380433,-0.4387133813200353,0.8960000437189362,-0.0935666316047934,0.21757872363032615
50,1.0,0.2,0.0,0.5050505050505051,3.0019071626535285,-1.0,0.6629999848560412,-0.32801373988880567,0.33784396915285275
51,1.0,0.2,0.0,0.5151515151515152,2.8243988763258367,-0.895612050123095,0.7440000043974939,-0.4031675342501093,0.1722492111699232
52,1.0,0.2,0.0,0.5252525252525253,0.5817498751007921,0.4750784074554222,2.6208025340966628,0.5833382086543073,0.24545916328228157
53,1.0,0.2,0.0,0.5353535353535354,1.5155342808323813,0.21793125283562698,1.5030000378167216,0.3112167916585291,0.07446609620399514
54,1.0,0.2,0.0,0.5454545454545455,2.4910147139707566,-0.6747156832059151,0.8059624989068135,-0.25480089027140995,0.26459413885200034
55,1.0,0.2,0.0,0.5555555555555556,4.461737507569969,-0.5846381684561515,0.6740000403322793,-0.34155846123736144,0.03303877552812118
56,1.0,0.2,0.0,0.5656565656565657,3.678809123843803,-0.778515226516375,0.6340000159974675,-0.21617930161521426,0.06313215522817295
57,1.0,0.2,0.0,0.5757575757575758,2.943069474207279,-0.7107414674553749,0.6990000623130826,-0.1919040518760089,0.2935630914041629
58,1.0,0.2,0.0,0.5858585858585859,2.56858013141629,-0.28523229724867516,0.8745949810736766,0.061500707523415965,0.3108540159177293
59,1.0,0.2,0.0,0.595959595959596,2.3534067820248685,-1.0,0.7229999735119158,-0.19721765804186608,0.43168351956594697
60,1.0,0.2,0.0,0.6060606060606061,3.0649922168423442,-0.7729633325475345,0.7080000116679794,-0.19206197831451255,0.421240337760614
61,1.0,0.2,0.0,0.6161616161616162,3.86636431280938,-0.854090914778911,0.6231137202386057,-0.2660868542293049,0.4606075443525224
62,1.0,0.2,0.0,0.6262626262626263,4.415054917983676,-0.7377588988117159,0.6059999920840998,-0.20178650406872967,0.3177615697194731
63,1.0,0.2,0.0,0.6363636363636365,2.7673122955084133,-0.9989451249429513,0.673000152629943,-0.25222697264909544,0.4755307475416004
64,1.0,0.2,0.0,0.6464646464646465,2.709932564679105,-0.8044232814647142,0.7409999832538202,-0.2443578205867185,0.4013228988650437
65,1.0,0.2,0.0,0.6565656565656566,3.493289973448142,-0.5776357914583342,0.6905003306137214,-0.06385458736473826,0.46970139485633555
66,1.0,0.2,0.0,0.6666666666666667,5.75999737916152,-0.47176504340011427,0.5802722316528723,-0.13145817888932498,0.10724971344470347
67,1.0,0.2,0.0,0.6767676767676768,7.820105773851202,-0.8151840935969311,0.45200001318003563,-0.21523673830966927,0.11049771636324035
