,Subject,k,z0,z1,a/B,x0,sz,nondectime
0,1.0,5.1847515999833025,-0.9741945551268566,-0.9694190920283701,1.2900000034852876,-0.6598074429104419,0.22211391161161842,0.18737826603041263
1,2.0,8.312031279375901,-0.9593308848824879,-0.989957290047368,0.9750000049826356,-0.5748180878814995,0.45600954958852885,0.16241470685565879
2,3.0,8.780526288917127,-0.9999990575228508,-0.9901638204156801,1.220000076184784,-0.7580634032895566,0.012137534583468224,0.19353563969124182
3,4.0,2.637266176975862,-0.9956089743839671,-0.8954073662092392,2.9179024125069546,-0.031034915080599634,0.9788431343904084,0.3694177029051026
4,5.0,8.766256354847318,-0.9115751772780498,-0.9827444435355117,0.9491931900123791,-0.6541419225105453,0.11334696070883277,0.1850792295638634
5,6.0,8.412390410514295,-1.0,-0.7075248895021644,0.7400000751959956,-0.1168697955870941,0.39356274682554837,0.28760451937365017
6,7.0,8.901863636674314,-0.9344304441713245,-0.8618840683906526,1.0049311235299054,-0.48149111518563537,0.4516383151961352,0.22523694307340583
7,8.0,9.49887029635524,-0.9029263373550153,-0.9802238091341157,0.9117922907058738,-0.6073230518218077,0.16474743875688613,0.16434655913457313
8,9.0,3.898736028643078,-0.9886470385536016,-0.8923059050985562,1.665000008414648,0.013799966227130422,0.9864734932290066,0.33372823217153047
9,10.0,9.957604523247957,-0.9109338876677042,-0.9749896240930034,1.030398409795169,-0.6532859250040592,0.23184428371253085,0.24296679127686283
10,11.0,8.304264038852235,-0.9105945050769642,-0.9018589209960195,0.7527130556376427,-0.45327274986822375,0.0767490631603096,0.15282687576099407
11,12.0,7.234755779865156,-0.9396813593760973,-0.9626411635135058,1.3822979893301413,-0.7463422318157111,0.03426559219620312,0.2088891433446192
12,13.0,9.96464306091985,-0.8822771309958014,-1.0,1.0300006368914538,-0.6342830375188597,0.32392834110994945,0.15843974260385918
13,14.0,9.977863921917924,-0.8944496875874092,-0.9532108722543529,1.1101483840452946,-0.7380032623085335,0.12635109944402945,0.12291332517488418
14,15.0,8.247620115242011,-0.9151263181117298,-0.9388459846572759,1.3646161098002159,-0.7497452828273196,0.1353483266380412,0.19750496547757934
15,16.0,9.549732587926137,-0.953793239048785,-0.949272627249026,1.2954309509668875,-0.7712026387981261,0.27564238286556575,0.19882665896213397
16,17.0,9.81970999572681,-0.9129415615852579,-1.0,1.1979498706502236,-0.7127310696813476,0.2524131607363512,0.1452926113323198
17,18.0,6.352652268537257,-0.8314040356581338,-0.8187679417927506,1.069459228852216,-0.6380975793968624,0.10254164040377478,0.12722625387798164
18,19.0,9.464250250175482,-0.901138643005637,-0.9700061364856711,0.8810845169976218,-0.6546755106288367,0.0836765281199825,0.1089129112361597
19,20.0,4.159074515277404,-0.98481996170489,-0.9857929352053181,1.6949999912329567,-0.8041778180274057,0.1123502124580909,0.2081062742507156
20,21.0,5.974569428541919,-0.9440144578875226,-1.0,1.4343552182736186,-0.7627980983919238,0.13116339170209385,0.20396629180390985
21,22.0,8.28562186770333,-0.796134082239665,-0.8205786937889659,0.9803636581368911,-0.5479164814836854,0.2663951583379063,0.2031648866596021
22,23.0,8.943423163347898,-0.860672613929437,-0.8604828070986361,1.0764579260453448,-0.6327744900370653,0.2892941323927385,0.20750714564776873
23,24.0,8.753664691452013,-0.9708066771998423,-0.9985080976264051,1.1382396810463895,0.04238315525395375,0.9511967570308844,0.3233809185135825
24,25.0,8.503267031837215,-0.9995584230791378,-1.0,0.7649999469751939,-0.28918449358243736,0.5153770710065783,0.19291658864600641
