,a (nl-DDM),k (nl-DDM),z (nl-DDM),x0 (nl-DDM),sz (nl-DDM),drift,B,x0,sz
0,0.2,5.0,0.0,0.0,0.0,0.01,0.1930577140076144,0.012412137212542307,0.0157248075843186
1,0.2484848484848485,5.0,0.0,0.0,0.0,0.01,0.22165262520561058,-0.0475375100779829,-0.003674355089017922
2,0.296969696969697,5.0,0.0,0.0,0.0,0.01,0.2650626833944312,-0.052258936424228186,-0.0035181379992466066
3,0.34545454545454546,5.0,0.0,0.0,0.0,0.01,0.2796255879268301,-0.03540120496523547,0.014424363819544928
4,0.3939393939393939,5.0,0.0,0.0,0.0,0.01,0.29356670112126526,-0.013444587653272944,0.02149108685997536
5,0.44242424242424244,5.0,0.0,0.0,0.0,0.01,0.3047251093229111,-0.04679617466487107,0.04031244835357617
6,0.4909090909090909,5.0,0.0,0.0,0.0,0.01,0.31657744793575393,-0.08106846676453694,0.03503218735136193
7,0.5393939393939394,5.0,0.0,0.0,0.0,0.04503860454925386,0.32426393110257834,-0.06340894290243404,0.014421300849959628
8,0.5878787878787879,5.0,0.0,0.0,0.0,0.01,0.32987848380344165,-0.001863746902441843,0.025585118973339593
9,0.6363636363636364,5.0,0.0,0.0,0.0,0.028101003934426744,0.3326988183857811,-0.0515274657466438,0.024759370740707665
10,0.6848484848484848,5.0,0.0,0.0,0.0,0.014328197923275363,0.334643093265937,-0.0025721740364641477,0.025861180721672428
11,0.7333333333333334,5.0,0.0,0.0,0.0,0.01,0.3350086094112603,-0.03733922099175924,0.0037061516312337783
12,0.7818181818181817,5.0,0.0,0.0,0.0,0.01,0.32836312037491133,-0.007644707558459252,0.025119664924410312
13,0.8303030303030303,5.0,0.0,0.0,0.0,0.01,0.3276870218327952,-0.026714195478287905,0.025528830496843513
14,0.8787878787878789,5.0,0.0,0.0,0.0,0.01,0.32145715594901425,-0.004069396151002214,0.023173105921005854
15,0.9272727272727272,5.0,0.0,0.0,0.0,0.01,0.3103700277232111,-0.011092599786143187,0.0078119044357409795
16,0.9757575757575758,5.0,0.0,0.0,0.0,0.01722006231850389,0.3057447752604814,-0.0202703164063035,0.01214700561285631
17,1.0242424242424242,5.0,0.0,0.0,0.0,0.01,0.29387019579270124,-0.0012544589482716972,0.017161146882700873
18,1.0727272727272728,5.0,0.0,0.0,0.0,0.029525710417628158,0.2894364066400623,-0.029420462136131253,0.003563029923187022
19,1.1212121212121213,5.0,0.0,0.0,0.0,0.0240962014650353,0.2815857097546868,-0.013493626659974334,0.002635151629709842
20,1.1696969696969697,5.0,0.0,0.0,0.0,0.011645132763823146,0.2722490964938542,-0.02228600940431069,0.014812186459378207
21,1.218181818181818,5.0,0.0,0.0,0.0,0.030642234154135063,0.2634190740008364,-0.028894300390374772,0.031008155284925953
22,1.2666666666666666,5.0,0.0,0.0,0.0,0.01,0.2588230390699495,-0.0179391631885929,0.04362335546822926
23,1.3151515151515152,5.0,0.0,0.0,0.0,0.01,0.2531878961584564,-0.03228643273091947,-0.004047784355349915
24,1.3636363636363635,5.0,0.0,0.0,0.0,0.0144203964489325,0.2443063389093405,-0.024474821237591038,0.010293930645612237
25,1.412121212121212,5.0,0.0,0.0,0.0,0.01,0.24010964506436405,-0.007732654746907985,0.039289274447726896
26,1.4606060606060605,5.0,0.0,0.0,0.0,0.01,0.23324083902183101,-0.025898237986170747,0.015523041280604222
27,1.509090909090909,5.0,0.0,0.0,0.0,0.01,0.22609521606006222,-0.009113692330007694,0.0019859743580452616
28,1.5575757575757576,5.0,0.0,0.0,0.0,0.044668267675165005,0.22585579091815688,-0.03395659132139539,0.00673044871747841
29,1.606060606060606,5.0,0.0,0.0,0.0,0.01,0.2201096899508448,-0.00406102580199208,-0.0009769189807704581
30,1.6545454545454545,5.0,0.0,0.0,0.0,0.021064001522784422,0.2140932165186733,-0.005456739227753915,0.00823095018613218
31,1.703030303030303,5.0,0.0,0.0,0.0,0.01,0.21052302588195904,0.0024955922291327592,0.010078139742906389
32,1.7515151515151515,5.0,0.0,0.0,0.0,0.03455839643551791,0.2056838091495834,-0.027247965182561895,0.016807904428568055
33,1.8,5.0,0.0,0.0,0.0,0.01,0.19984992254361877,-0.012520850297187525,-0.003384589053523901
34,1.8484848484848484,5.0,0.0,0.0,0.0,0.01,0.19802317730781738,-0.02292696709142361,0.0015427810527612884
35,1.896969696969697,5.0,0.0,0.0,0.0,0.01,0.19345404325258198,-0.02292558480855922,0.021739286647078693
36,1.9454545454545453,5.0,0.0,0.0,0.0,0.027236238931837575,0.19172444908226005,-0.01473576624917683,0.008362806586659666
37,1.993939393939394,5.0,0.0,0.0,0.0,0.07152893219284286,0.18471281725778432,-0.05684957751133124,0.009535909229294592
38,2.0424242424242425,5.0,0.0,0.0,0.0,0.03867504733348776,0.18267351129363174,-0.028285049950009578,-0.00535089704209446
39,2.090909090909091,5.0,0.0,0.0,0.0,0.12403481084916836,0.1790627605211519,-0.0790532904480925,-0.005187050855919084
40,2.1393939393939396,5.0,0.0,0.0,0.0,0.01,0.1761654807538413,-0.015446912617124942,0.012566050587220712
41,2.187878787878788,5.0,0.0,0.0,0.0,0.04135865168110974,0.17473178965664093,-0.03158208801718976,0.004417520702046485
42,2.2363636363636363,5.0,0.0,0.0,0.0,0.01,0.17026836414797586,-6.343619114945742e-05,-0.00012887900127267482
43,2.284848484848485,5.0,0.0,0.0,0.0,0.01,0.1663293621195896,-0.017788085186264402,0.0035278539682990218
