,B (DDM),v (DDM),x0 (DDM),sz (DDM),k,z,a/B,x0,sz
0,1.0,0.0,0.0,0.0,0.1907787331650963,0.34769466015833633,4.995999994125218,0.35263954091853544,0.0034142386258084745
1,1.0,0.10101010101010101,0.0,0.0,0.14835998091988056,-0.9999734585961081,4.874923984166257,-0.8561699144995509,0.00388987580339073
2,1.0,0.20202020202020202,0.0,0.0,0.10588149679005647,-1.0,3.431999951697728,-0.1077680979023159,0.381907938989561
3,1.0,0.30303030303030304,0.0,0.0,0.10656538638848545,-0.9935267169485804,3.3039355852209242,-0.1152734583115187,0.3510788929833779
4,1.0,0.40404040404040403,0.0,0.0,0.1,-0.8485377671074827,3.5219999864399547,0.005785928950305053,0.35835010860608296
5,1.0,0.5050505050505051,0.0,0.0,0.1,-0.7485619989873775,3.5949998071498865,0.09949970893807913,0.4007040154069046
6,1.0,0.6060606060606061,0.0,0.0,0.10029580481725286,-0.9441842868556307,3.562950900213686,0.01604704436174398,0.4283568499984005
7,1.0,0.7070707070707071,0.0,0.0,0.19210107677346144,-0.9756460357427436,2.561647355560816,-0.007339965755337019,0.3956736152183482
8,1.0,0.8080808080808081,0.0,0.0,0.10047526515032722,-0.7471533698376128,3.7969999981718177,0.1657180766444184,0.487694172272674
9,1.0,0.9090909090909091,0.0,0.0,0.4612674022436894,-1.0,1.8039999898873698,-0.17716865717096775,0.386901266460542
10,1.0,1.0101010101010102,0.0,0.0,0.22223217903573741,-0.6946056482293592,2.6399999883870486,0.203000583036268,0.41979153293096205
11,1.0,1.1111111111111112,0.0,0.0,0.2776499396950464,-0.6459214093464711,2.800999978419373,0.020986342932478586,0.39279559488762983
12,1.0,1.2121212121212122,0.0,0.0,1.4091217973411934,-0.9555813812548354,1.1117884375455138,-0.12637612162360012,0.22406004398866175
13,1.0,1.3131313131313131,0.0,0.0,0.9394438455733015,-0.829527751131522,1.5109999617487393,-0.059168692333878004,0.2872954311664735
14,1.0,1.4141414141414141,0.0,0.0,1.3542802790374018,-0.5444006797422232,1.375999671723383,0.03790438586467948,0.17988082049322562
15,1.0,1.5151515151515151,0.0,0.0,1.5932067241358894,-0.8851857655501926,1.322999923211438,-0.2752658899610162,0.2755105546928598
16,1.0,1.6161616161616161,0.0,0.0,1.5562738017895708,-0.6239406315915934,1.419491614717258,-0.07421964092819755,0.20921348567211906
17,1.0,1.7171717171717171,0.0,0.0,0.27151489841910575,-0.7284221475448384,3.342999990225709,0.10605462387136289,0.36051934121684437
18,1.0,1.8181818181818181,0.0,0.0,0.8856435569401571,-0.44098442504646107,2.229168106875788,-0.007951768220323507,0.24599173393096896
19,1.0,1.9191919191919191,0.0,0.0,2.150279451212101,-0.9283750151300847,1.3053790793411495,-0.31038100678568625,0.2638468679110053
20,1.0,2.0202020202020203,0.0,0.0,3.12329301158707,-0.505310082987191,1.2255080782057601,-0.13045553136104915,0.06873157934853924
21,1.0,2.121212121212121,0.0,0.0,0.4016778086230852,-0.9979670431183737,2.794999296256892,0.07622059310571805,0.32218110463082805
22,1.0,2.2222222222222223,0.0,0.0,0.575441162454672,-0.1759010419627116,3.415999917948273,0.14597999054447675,0.1693331342393074
23,1.0,2.323232323232323,0.0,0.0,1.0692837148462637,-0.8194226639898385,2.4940000055660025,-0.4720696371331864,0.2941618969951918
24,1.0,2.4242424242424243,0.0,0.0,1.1451433732753298,-0.8784966602493137,2.2032674618876653,-0.37262353521474756,0.2984487933329891
25,1.0,2.525252525252525,0.0,0.0,1.5733559712124765,-0.6253548623155853,2.090676336287167,-0.2903133071448848,0.18731284148782534
26,1.0,2.6262626262626263,0.0,0.0,2.453320218831925,-0.8054527984111706,1.5819999985313025,-0.36125444200887635,0.23264951644142995
27,1.0,2.727272727272727,0.0,0.0,5.34845350863881,-0.7935120228673228,1.0839999926927721,-0.37693465949805693,0.07673305913408401
28,1.0,2.8282828282828283,0.0,0.0,1.3666493832529991,-0.7282284438592257,2.287999972871085,-0.30700653752492735,0.22594412292651822
29,1.0,2.929292929292929,0.0,0.0,0.8582140775146199,-0.961058608332145,2.740771816886767,-0.375753132305521,0.3350478365750842
30,1.0,3.0303030303030303,0.0,0.0,1.1853751677611646,-0.7427629007583104,2.6265217425606893,-0.3563356970539763,0.23454071075359284
31,1.0,3.131313131313131,0.0,0.0,1.0580043326721675,-0.785289287539804,2.8569999558409207,-0.39389924863023407,0.2624828315893757
32,1.0,3.2323232323232323,0.0,0.0,3.2385065221847644,-0.697468672758511,1.5989996754312408,-0.3217990948235041,0.1769213323168095
33,1.0,3.3333333333333335,0.0,0.0,3.4545568823583346,-0.7711278783036606,1.4879998235411263,-0.3123054229795774,0.17953606874150085
34,1.0,3.4343434343434343,0.0,0.0,0.7931104025301791,-0.5382261752594343,3.4399999950320277,-0.13036982869368974,0.18467932515927377
35,1.0,3.5353535353535355,0.0,0.0,3.204553931960862,-0.7727817363358489,1.795184156619921,-0.4631907927705864,0.18604593137515946
36,1.0,3.6363636363636362,0.0,0.0,3.9854874613902562,-0.7825801044822255,1.5859999930174666,-0.44895926845611644,0.14769428254857941
37,1.0,3.7373737373737375,0.0,0.0,3.663610457970649,-0.9435109234728063,1.726501118432548,-0.6018861126645019,0.17707153723014102
38,1.0,3.8383838383838382,0.0,0.0,0.9035498403853418,-0.8609086816982788,3.2916575790750846,-0.38494042980848353,0.18250561753657246
39,1.0,3.9393939393939394,0.0,0.0,4.6507740801452,-0.7158273233383775,1.6667935749733194,-0.48802339456806465,0.102710355278814
40,1.0,4.040404040404041,0.0,0.0,3.9846736648491072,-0.8439032587283903,1.774898891417699,-0.5704126629948265,0.15366931946393647
41,1.0,4.141414141414141,0.0,0.0,0.9421009902016594,-0.66155297070636,3.8759999901245656,-0.41743081215470845,0.15702048407996427
42,1.0,4.242424242424242,0.0,0.0,5.573198553772213,-0.6641737112318802,1.6018291542781151,-0.4595696255048827,0.10019835584842252
43,1.0,4.343434343434343,0.0,0.0,1.7002790554423464,-0.8566846509152054,3.1009999777826414,-0.6453977147902368,0.17558497224098213
44,1.0,4.444444444444445,0.0,0.0,1.162311769643971,-0.5966898236930176,3.7889999858405417,-0.4090410050733412,0.14681657187903774
45,1.0,4.545454545454545,0.0,0.0,1.7163461740362125,-0.6913444866692002,3.019999997232189,-0.4660867192378534,0.1393081333126882
46,1.0,4.646464646464646,0.0,0.0,4.959961999736527,-0.9158366376343816,1.8818325659725894,-0.700806657584135,0.1007142304360118
47,1.0,4.747474747474747,0.0,0.0,1.8170265808661363,-0.6181503719033211,3.1699999101713012,-0.4519076662389846,0.10863383090525702
48,1.0,4.848484848484849,0.0,0.0,5.880311017428265,-0.8908531428393314,1.7372140046143372,-0.6708870727155217,0.0828164533958553
49,1.0,4.94949494949495,0.0,0.0,4.246641042469876,-0.9515748366144898,2.073999982049146,-0.7113943572952637,0.11540762790479797
50,1.0,5.05050505050505,0.0,0.0,5.301837008458924,-0.9684128245621153,1.820273498014621,-0.7051885426121332,0.11894838972096311
51,1.0,5.151515151515151,0.0,0.0,3.9369262808454555,-0.9072255916457321,2.259999977826611,-0.7007009811995579,0.16182758717720458
52,1.0,5.252525252525253,0.0,0.0,1.2349682102856818,-0.49683160017875155,4.052999989015566,-0.3334100099699453,0.09817211628415334
53,1.0,5.353535353535354,0.0,0.0,1.6221595423110595,-0.929172803742906,3.3738125318249144,-0.6419213984373839,0.17461348512351016
54,1.0,5.454545454545454,0.0,0.0,2.788352003062474,-0.8353265232502531,2.9449999987558297,-0.6912996772024913,0.08961253402731595
55,1.0,5.555555555555555,0.0,0.0,4.9563856092588585,-0.9737691757219846,2.164883876568786,-0.7710217918475637,0.04817499270958092
56,1.0,5.656565656565657,0.0,0.0,4.702984320142324,-0.9099847508432294,2.260865876491732,-0.731050002792555,0.1138452923002371
57,1.0,5.757575757575758,0.0,0.0,6.834228936150559,-0.943314230797875,1.8446342224126095,-0.7446471895126072,0.024925211421298332
58,1.0,5.858585858585858,0.0,0.0,1.7378679444826388,-0.7569908770478608,4.439043933614372,-0.6912677004874537,0.06452346655868402
59,1.0,5.959595959595959,0.0,0.0,4.560787984811269,-0.9722894747853335,2.0429999920309614,-0.6607770973088247,0.11565639481433987
