,Subject,m0,m1,a,tau,B,x0,sz,nondectime
0,1.0,10.0,9.833732013302022,6.853252803557385,4.273253618583718,0.45061193627052454,-0.42299993840825134,0.422752843086583,0.2941775012886586
1,2.0,8.511593025434859,8.865601268479782,10.0,4.138787385958645,0.44894906683089175,-0.4663833672190141,0.03265268621174716,0.20789518488921216
2,3.0,6.876618901666432,6.768715277622359,6.704872428218645,2.1056738985962844,0.48418930638939006,-0.5530245345304252,0.1410545496935478,0.25515843529826077
3,4.0,5.496540515717087,4.311279895040831,6.670343731761312,2.6661315083519295,0.17250615086176158,-0.1564603277287664,0.28351912727457224,0.3664089077568623
4,5.0,8.640434476712706,9.714160464507799,10.0,4.028122855347068,0.5267131395941451,-0.40756865359853534,0.1970151158362755,0.28008845297421414
5,6.0,7.521750639816212,5.521876735597783,0.7640709800716098,4.446725557867372,0.37762933569278445,-0.17328160351350375,0.49678820887966657,0.3474820812033881
6,7.0,6.186372471685536,5.462725387663023,5.88734986489491,3.30296067365123,0.3446320105203817,-0.1885267337862886,0.43118427443368235,0.3123454233861346
7,8.0,8.916384191664184,10.0,9.393339470215668,4.010200092184406,0.5601561982853509,-0.4287706779996756,0.05057085594693167,0.21477055930240233
8,9.0,6.6589924620475145,6.602899685055948,5.44609576736807,0.9576993853517108,0.9400882909512127,-0.6453462788955701,0.07894465058388345,0.18497462248559932
9,10.0,9.190817585599941,9.91193094061134,8.715793076353503,2.673299958164596,0.584754599697284,-0.5952772505272901,0.043608597664319904,0.2702843572217194
10,11.0,8.657772056864665,8.655510931913705,5.5814901255626,5.0,0.5231327900257448,-0.47022190344020376,0.17642973718426713,0.20840378177869562
11,12.0,7.796993089463825,8.173761611151,7.409313148765239,2.4195021681697555,0.47448450721194124,-0.5716796467303077,0.09842017214736454,0.27295395477978396
12,13.0,6.809455247251167,8.697892491704089,9.178869051935145,4.55184167805813,0.33828216683656454,-0.27245338871303215,0.12382693175456644,0.23936326716861894
13,14.0,7.571995770797544,8.331074719960533,10.0,2.570968352426189,0.6544750192759388,-0.40504006402213855,0.03580466975466273,0.1779058134096565
14,15.0,7.660953186958528,8.218239810457813,10.0,2.4497250213344337,0.5876693779778952,-0.3756554680811175,0.060299475853934636,0.25398146507890595
15,16.0,6.660146087441762,6.478546640895006,9.424383796795095,4.119426155855445,0.22804126462427643,-0.3315043200713186,0.07318434334374524,0.30486852280728943
16,17.0,5.1728819343914605,6.818227790634578,4.820377903191235,3.122909664510685,0.23328451331165567,-0.3525774011588745,0.16062832166644953,0.2545461104156359
17,18.0,4.81724627241543,4.757758579251124,4.632349842620205,1.7817355042999192,0.7375893706954946,-0.5105743566849401,0.005118029626683895,0.19327815237262103
18,19.0,8.005899249621685,9.009835954968977,9.69363080817111,5.0,0.4186064331397885,-0.40692240267822655,0.0464037592364554,0.21524970462242995
19,20.0,9.916356594513477,9.869317939987086,10.0,3.2474346454049066,0.645117055335791,-0.45684437326925786,0.02767531528511652,0.2867448089900416
20,21.0,8.90305228061179,10.0,9.306618371878988,3.371572414565374,0.48974311040794216,-0.5178242701284844,0.013922058568560491,0.27089146675416176
21,22.0,8.956171042851823,9.338055290268578,8.893540458375325,3.5638284303458985,0.7250473674500011,-0.4259836374097312,0.05971558652194653,0.2169139687858206
22,23.0,5.6790136010033345,5.703150790156854,7.605949749274094,2.3359498127805782,0.5687298412946307,-0.35462998780793287,0.09291425612879589,0.26581027422232184
23,24.0,5.6445182019772,5.615625764856415,9.221102987197698,3.3884674110186492,0.3050521903788841,-0.19004173335550623,0.3210315984785988,0.2949875734542833
24,25.0,8.96857607322276,8.967718577878259,4.97098949798483,5.0,0.42010154296534186,-0.3033030849608144,0.6844507179477122,0.26041273999438264
