,Subject,k,z0,z1,a/B,x0,sz,nondectime,halfwidth,umixturecoef
0,1.0,2.285715788153868,-0.7413617524722701,-0.7055072479521675,1.8574147069630447,0.5823625127933127,0.4900733729950506,0.3930837493795542,0.09435195404847277,0.007331129228863781
1,2.0,5.424697827392384,-0.6997774072893491,-0.9061590484622251,1.0100001924455868,0.5059381474146047,0.8417220966478757,0.31401841464854635,0.04258984640347449,0.028069251089060908
2,3.0,2.102072439993197,-0.8414626355850557,-0.7491795281517316,1.7407465357799135,0.7473706348423821,0.6690636642635381,0.34477280817252137,0.03204377536463621,0.005146513464780338
3,4.0,6.54763082398304,-1.0,-0.5,1.2050000207429812,0.7737714117398453,0.7458452634972872,0.37060320331785757,0.002819054972823004,0.016270299572805732
4,5.0,1.8404203313900847,-0.5466828063575339,-0.815815550061517,1.7950000157322217,0.21196313382647247,0.024508079579610764,0.2959472258483461,0.08082476656263082,0.027142495786213677
5,6.0,3.845218917196983,-0.9877915860048365,-0.5562973434845409,1.0450000286079542,0.2015410882691846,0.5093259005191138,0.31917608437934986,0.009138892430621076,0.0031220029696567525
6,7.0,3.045055929089238,-0.9339611574439726,-0.6129257610907884,1.2215875591758052,0.5614589221193005,0.14385846649662615,0.284677857757216,0.006717455332994879,0.00794273657393553
7,8.0,1.679644106434106,-0.706255863842518,-0.9057709101990841,2.01681401465117,-0.04643055382987982,0.4351841922563215,0.24490115733293008,0.04287485411339969,0.010276352201739301
8,9.0,0.8460157507941977,-0.8601029451560087,-0.5,2.139999980223656,0.9704817879633028,0.19266246094452355,0.41774549283473505,0.08512438443015266,0.05980758317895244
9,10.0,2.8318062259690695,-0.5292121082239414,-0.8623442755449789,1.5343650570013012,0.6447356547871184,0.12572378080926805,0.38051675759799103,0.06336412199920995,0.014438300714354806
10,11.0,2.2648213107643045,-0.8836619760238442,-0.9727256156102011,1.4000000078526416,0.7843560029939274,0.5097953223084551,0.4572512788094099,0.14233037298934803,0.011539822343686045
11,12.0,1.3878181040990878,-0.8455782911420503,-0.9254227375679618,2.5303867243195084,-0.25903773819336795,0.2393315887776939,0.24526804026198806,0.035651116599867624,0.009397538663198061
12,13.0,5.246396403217251,-0.5903479486331058,-0.8684441569405971,1.0200000180534863,0.06532711387175105,0.009489926339915411,0.16208618643488892,0.005209353230963221,0.010326910828453252
13,14.0,7.394726677129472,-0.657898587230868,-0.9864061774453639,0.9705217372246844,-0.03089112494537727,0.07418124935464798,0.21779388270591699,0.07056946959739611,0.054348642448232946
14,15.0,2.5877137015245113,-0.5810292745435962,-0.8098032761674425,1.7350000001126924,0.5481357628117114,0.3148859885299775,0.3068437993393425,0.045083649194227055,0.011858234655381996
15,16.0,2.301843330361755,-0.6685110579028357,-0.6683385406665141,1.8727563117295034,0.8392552602282584,0.2944871199292637,0.3607847814348423,0.07644431585946523,0.031919654543900125
16,17.0,8.017249705153962,-0.5521994377075389,-0.8692617075903106,0.9650000032960293,0.18081896116980256,0.06039007548352965,0.20010571112475414,0.0016713260509436945,0.007231947895534737
17,18.0,3.253003187590853,-1.0,-0.9334466106048516,1.809999968017253,-0.014581295145320583,0.9979244456255257,0.447699588033072,0.10279153762447615,0.0
18,19.0,1.5601467944629337,-0.6761802390308858,-0.9389486764275012,1.6838668843724185,0.28111887964062365,0.00919965354692015,0.21733576769396604,0.07630515666303342,0.03208628727661761
19,20.0,2.09534894456671,-0.7330850441842853,-0.8303795409619144,1.7189346334010671,0.5266468626903029,0.6830991395565552,0.39456651824006805,0.04525353449816291,0.028861340791468466
20,21.0,2.0018543936682978,-0.6655448692935643,-0.8506362643882672,1.9063182070209348,-0.0033054410431989645,0.048011740932085545,0.2666260021428769,0.053383541668686765,0.014883713470530614
21,22.0,5.427867690984839,-0.5000000000000022,-0.8992446558781404,0.8299999892680535,0.8414506700745308,0.25721600111874043,0.46293946852432527,0.08625574219916361,0.024773272703479704
22,23.0,2.179853493679623,-0.7098487885128856,-0.7607477032241236,1.4299999581507368,0.748167338501128,0.37133167448023535,0.35854664929519525,0.0516616805955443,0.033449214359650335
23,24.0,6.463829049180343,-0.9722594152186831,-0.9903950364587848,2.2741524304557923,-0.7154606285428882,0.818698714782538,0.33712259401457506,0.06900143472930416,0.0011030944311223867
24,25.0,1.9682909393611103,-0.7112086247567432,-0.7267727659237113,1.4250001850607688,0.9494934814242879,0.975313266732234,0.4560499875198302,0.1305962357709082,0.010240549267715372
