,Parameters,k,z,a/B,x0,sz,nondectime
0,b2,9.839987829824523,-0.5005724017801709,2.2093598131345207,-0.45901976484559215,0.9265470271234759,0.271782334669774
1,b3,2.0721183036917985,-0.6411681363465802,1.1047845931583589,-0.05866076351261473,0.8052582448016101,0.2368983273726393
2,v3,3.552010938677869,-0.9450918123063474,4.740714901277636,-0.9428037684452901,0.22577742407355283,0.20165911881436044
3,z1,9.352445951429122,-0.847189778693888,0.137030139695276,-0.7619806531234212,0.04106923587929745,0.2997454593754454
