,Bound (DDM),Drift (DDM),SP (DDM),SP var (DDM),k,z,a/B,x0,sz
0,0.2,0.0,0.1,0.0,4.797434404292728,-0.6710532533832173,0.1958544707311627,0.04993484317115615,0.03286960329269556
1,0.2,0.5,0.1,0.0,9.979805053475154,-0.7293755057464983,0.7679948596070703,0.029896485701263575,0.9152135479486813
2,0.2,0.7,0.1,0.0,9.90216565644242,-0.8064383148232075,0.9309999908438025,0.045051918634942734,0.9226130717143887
3,0.2,1.0,0.1,0.0,6.888910689082326,-0.9120920095733325,1.3005951849077715,0.010497389893036502,0.876090801335423
4,0.2,0.0,0.1,0.05,0.6645883361608753,-0.7416840577186472,0.1929712755973365,0.05682216915925076,0.04463987308732642
5,0.2,0.5,0.1,0.05,9.821897488513805,-0.748326590226776,0.8419860891856403,0.0072859058345746686,0.8926294741932632
6,0.2,0.7,0.1,0.05,9.377949441433687,-0.8421768773853385,0.8929999909471451,0.03246464442006114,0.9015081940587536
7,0.2,1.0,0.1,0.05,7.883811469242167,-0.9465292305592723,1.2311322000145672,-0.007117396341705495,0.8953304455393674
8,0.2,0.0,0.1,0.1,2.1989712094392364,-0.8141651478497478,0.1906826174763423,0.09269031285347484,0.017804819691160878
9,0.2,0.5,0.1,0.1,9.923475198918293,-0.6857826553975637,0.8469836497071108,0.006028698180783998,0.8789338896485251
10,0.2,0.7,0.1,0.1,9.637974112097858,-0.8454838160453255,0.9534996103011297,0.004228241402085997,0.88891203693883
11,0.2,1.0,0.1,0.1,8.027216321852755,-0.977044223322099,1.1275660579541174,-0.0008372864858887663,0.8780990765657722
12,0.2,0.0,0.1,0.2,2.879790146568375,-0.8223849524216325,0.19300014053422632,0.07782081914270877,0.04534885912582176
13,0.2,0.5,0.1,0.2,9.969113525087465,-0.7328524865353647,0.8518881403843772,0.006408202328427093,0.9061207860335794
14,0.2,0.7,0.1,0.2,9.953425858972366,-0.8678330719406395,0.8893113148255571,0.0104861985594773,0.8998231320577056
15,0.2,1.0,0.1,0.2,6.967649546256006,-0.9703756585274563,1.2571983593493297,0.008324887686924631,0.9279683155546099
16,0.2,0.0,0.2,0.0,0.5176924325598913,-0.7919346433205144,0.18900079058725974,0.1981410015931684,0.16057354388504297
17,0.2,0.5,0.2,0.0,9.811996231549543,-0.7432374079467301,0.874620646987843,0.051996080968238045,0.9347219852297579
18,0.2,0.7,0.2,0.0,9.801169564249326,-0.8230530992324682,0.9707552490974252,0.046493375593457564,0.9582303658381205
19,0.2,1.0,0.2,0.0,6.903740378729587,-0.9522151649969853,1.33690769200185,0.011300973534780656,0.935796893894825
20,0.2,0.0,0.2,0.05,4.8914051718337355,-0.7143179184562813,0.19600004674899676,0.16591537438502746,0.05792062682729848
21,0.2,0.5,0.2,0.05,9.93559215523008,-0.744252822106608,0.8197984427205502,0.04311882075533746,0.9288345749929056
22,0.2,0.7,0.2,0.05,9.25789245656027,-0.7989772120564705,0.9933939685302651,0.04862685045229065,0.942017269073664
23,0.2,1.0,0.2,0.05,7.893772035752926,-0.9192590609298623,1.3258257579176287,-0.018349549957845435,0.9028373680478936
24,0.2,0.0,0.2,0.1,3.310348869529962,-0.8105202539047313,0.20200056090373544,0.1815801778360513,0.26528700855789084
25,0.2,0.5,0.2,0.1,9.937657240196135,-0.7467506070521838,0.8659499135733428,0.037438086630468215,0.9426234615212614
26,0.2,0.7,0.2,0.1,8.68984137797493,-0.9054891932304219,1.0539596558015067,0.014780736620211954,0.9248380344867183
27,0.2,1.0,0.2,0.1,8.754454931831175,-0.9243554098346559,1.2185007568321826,0.03578505439184343,0.9312052284907065
28,0.2,0.0,0.2,0.2,4.059470120889161,-0.5931776436166101,0.20364210838713426,0.18254551600253865,0.22658013333312882
29,0.2,0.5,0.2,0.2,9.769732160565798,-0.7275925579796161,0.8978659406871692,0.035264254428549524,0.9413624307540471
30,0.2,0.7,0.2,0.2,9.966735027379997,-0.984236702605441,0.3849452287164761,0.6793551198830481,0.09528466054417556
31,0.2,1.0,0.2,0.2,8.16674065093794,-0.6704901105179233,0.690072783440864,0.7707615982355376,0.033841096422813244
32,0.2,0.0,0.5,0.0,6.353792091906829,-0.7680761858045703,0.1869999229770351,0.5011168637953478,0.0245541603277748
33,0.2,0.5,0.5,0.0,9.960388997746861,-0.9996342164773837,0.2977612047156497,0.7273078282303005,0.041690775793151724
34,0.2,0.7,0.5,0.0,9.905428650174805,-0.9798012064405696,0.37863372490047675,0.8054666821855789,0.012044384381312279
35,0.2,1.0,0.5,0.0,5.328952283341439,-0.9432378911150323,2.2907565728502353,0.031244620823722036,0.9945743556596999
36,0.2,0.0,0.5,0.05,4.45112822109153,-0.7461064134514097,0.19300009824120273,0.5104638706614815,0.19981496618733563
37,0.2,0.5,0.5,0.05,9.833878599505049,-0.9936041818448014,0.3129845899307737,0.7629468135692261,0.026383696227827047
38,0.2,0.7,0.5,0.05,9.874450275084452,-0.993604139297801,0.4667224467669828,0.8426601456437912,0.16768159893224321
39,0.2,1.0,0.5,0.05,9.998365250101086,-0.9235357258367107,0.5039290912941428,0.8551809602075346,0.08111479869011184
40,0.2,0.0,0.5,0.1,0.5816575930683321,-0.9634109562099784,0.1969800475811443,0.4901983279186859,0.07529267208024204
41,0.2,0.5,0.5,0.1,9.96382317885907,-0.9968438190603919,0.3359746885060675,0.7523880893963484,0.019203831448977526
42,0.2,0.7,0.5,0.1,9.8751176195398,-0.9566199564110546,0.46462485758652283,0.8290017301900205,0.014715279352239263
43,0.2,1.0,0.5,0.1,7.107885125338746,-0.6266535023443298,0.7949996679039122,0.8914209090619265,0.041962283939391054
44,0.2,0.0,0.5,0.2,0.33438605276481415,-0.6405422129666032,0.19156023479429818,0.49451709831510415,0.005389362728034919
45,0.2,0.5,0.5,0.2,9.998860368922658,-0.9940494032581685,0.2789999979068307,0.7273309359916655,0.1104183575592213
46,0.2,0.7,0.5,0.2,9.949929718692388,-0.9636377420037637,0.3929999908826855,0.8067673444965722,0.10641422210052248
47,0.2,1.0,0.5,0.2,9.433126554679493,-0.9477431244053545,1.709628054000257,0.02677824171442622,0.9995920401400678
48,0.2,0.0,0.8,0.0,0.7124505534809155,-0.8596575859427751,0.1900001621349062,0.7884368832441642,0.7639075475228712
