,a (nl-DDM),k (nl-DDM),z (nl-DDM),x0 (nl-DDM),sz (nl-DDM),drift,B,x0,sz
0,1.0,5.0,-1.0,0.0,0.0,2.5427684188581967,2.78237273250877,0.7577391296145224,0.03194703315200975
1,1.0,5.0,-0.9797979797979798,0.0,0.0,2.250279300933603,0.4284898222369433,-0.44168023473590157,0.049947237551238866
2,1.0,5.0,-0.9595959595959596,0.0,0.0,2.670752593837327,7.547695973115621,0.9031853264415464,0.021757904139280138
3,1.0,5.0,-0.9393939393939394,0.0,0.0,2.4340073425949518,0.48968904584761397,-0.40504657351912776,0.021282419990995782
4,1.0,5.0,-0.9191919191919192,0.0,0.0,2.4400352820618414,2.972531554394502,0.769763305499916,0.004452035744053617
5,1.0,5.0,-0.898989898989899,0.0,0.0,2.3521498804510967,2.4107150481610278,0.7148137865830038,0.001416652761649928
6,1.0,5.0,-0.8787878787878788,0.0,0.0,2.6622182476875387,1.974193138568669,0.60915250349696,0.015566711990200544
7,1.0,5.0,-0.8585858585858586,0.0,0.0,2.514687565545656,1.2336281534074915,0.3965240899098963,-0.0010302234032456559
8,1.0,5.0,-0.8383838383838383,0.0,0.0,2.477493613035688,1.2666757857411755,0.4267194745412055,0.0025546301500083413
9,1.0,5.0,-0.8181818181818181,0.0,0.0,2.0868657583921726,2.938115349300712,0.7858777786625937,0.0005093223009906556
10,1.0,5.0,-0.797979797979798,0.0,0.0,2.400027708400945,4.001762299760104,0.8180227605082302,0.02438171435170422
11,1.0,5.0,-0.7777777777777778,0.0,0.0,2.1988184750651465,1.214162732397929,0.42503520286225993,0.0240395214207223
12,1.0,5.0,-0.7575757575757576,0.0,0.0,2.524055736451396,0.7310807792010507,-0.07041457275139573,0.02347406815276254
13,1.0,5.0,-0.7373737373737373,0.0,0.0,2.0114414552888356,0.43408509084482194,-0.5249579143997871,0.019001216497327666
14,1.0,5.0,-0.7171717171717171,0.0,0.0,2.182112285336623,1.8352854668182381,0.6165563616779222,0.010652098488875383
15,1.0,5.0,-0.696969696969697,0.0,0.0,2.457886531927096,0.6953698183657098,-0.1607626704162073,0.005498118405677044
16,1.0,5.0,-0.6767676767676767,0.0,0.0,2.20284024335223,0.47014387007193204,-0.5458302725527515,0.041419510965462036
17,1.0,5.0,-0.6565656565656566,0.0,0.0,2.5125434992155267,1.787723819114425,0.5262584554464491,0.0003822454505579831
18,1.0,5.0,-0.6363636363636364,0.0,0.0,2.2080712870601062,2.3076384501939247,0.6716094213667092,0.010815832717349982
19,1.0,5.0,-0.6161616161616161,0.0,0.0,2.1764422714009584,6.58243540220391,0.8840586204018066,0.022003922177838975
20,1.0,5.0,-0.5959595959595959,0.0,0.0,2.2357769190647705,4.860304563279946,0.8374685552388028,0.0061041579874596685
21,1.0,5.0,-0.5757575757575757,0.0,0.0,2.222029466518637,2.3234883403001154,0.6547006262172774,0.024047436340357775
22,1.0,5.0,-0.5555555555555556,0.0,0.0,2.1979996749015878,4.465461009665191,0.8160711467877617,-0.0010498949746858832
23,1.0,5.0,-0.5353535353535352,0.0,0.0,2.2018835260347225,8.070421828287115,0.8981701543022185,0.0009433301711441189
24,1.0,5.0,-0.5151515151515151,0.0,0.0,2.13720971714268,3.471933526106125,0.7623672114763531,0.0042642333750262384
25,1.0,5.0,-0.4949494949494949,0.0,0.0,2.092595714203348,0.873389958781889,0.05959928292180572,0.0033214146601050487
26,1.0,5.0,-0.4747474747474747,0.0,0.0,2.01509567221703,2.637128978707008,0.6908360442636665,0.037060268610974
27,1.0,5.0,-0.4545454545454545,0.0,0.0,2.071325461426787,0.5293071819598287,-0.6311844270754027,0.04097758991698863
