,Subject,v0,v1,B,x0,sz,nondectime
0,1.0,1.886248700626805,1.8466073419497977,0.2973705811625308,-0.4470889669651691,0.4221623995842286,0.31752734064526755
1,2.0,1.3477070805835398,1.4289355960451526,0.23139127906953716,-0.40984750738150044,0.014571519658641008,0.2658844257215857
2,3.0,2.184824880368657,2.1439500227549337,0.28047501538854336,-0.5287861603307703,0.4397452220498188,0.2856627872665285
3,4.0,2.0102190007999408,1.5938537716114602,0.14293312918664713,-0.21864766579741302,0.19969894874924288,0.3681699953024924
4,5.0,1.2850926326918488,1.498618740407474,0.2469053149864341,-0.4059561683252737,0.10249080741648631,0.33220720389992936
5,6.0,1.7025023019265941,1.2720631131559978,0.3662743792984823,-0.2568597071205422,0.46624664390685133,0.33322758668302926
6,7.0,1.4964665534003276,1.3134853388866772,0.22154226822068868,-0.191295888274297,0.003169046424955302,0.3204333307302386
7,8.0,1.1885445230003622,1.2618896627111036,0.2216734554719404,-0.24004338050539176,0.13153384646096267,0.3121654379993174
8,9.0,1.005772599051509,0.7381640493718626,0.18498930317018636,-0.07729018326449433,0.18580604388695088,0.31583527435036696
9,10.0,1.4272762192164214,1.5357222577571563,0.2075925136466974,-0.3570894219895264,0.09338107100610626,0.3646226652803674
10,11.0,1.450160776867606,1.3874235824147285,0.33118254653964496,-0.3379121663421871,0.5266271508465259,0.3118222606670632
11,12.0,1.908724814509681,2.027498650706312,0.23230437789614566,-0.4568251531203904,0.23080369378728638,0.3255797529786183
12,13.0,1.3899919755807952,1.7927363062368702,0.2272335928754461,-0.37617020752104946,0.124731264192254,0.25993610648889964
13,14.0,1.124842548254473,1.3361609804205583,0.18798861824830715,-0.29170573752447326,0.20073218254419528,0.26526442573935444
14,15.0,1.6601924922960336,1.8274982603369143,0.21658771867392623,-0.3510345956713421,0.2207114017197092,0.30714012129838364
15,16.0,1.4569341895482675,1.4170317342740226,0.17391788459432833,-0.34122376620118566,0.20907332938982948,0.3197588804285363
16,17.0,1.6138597916811026,2.194693941834193,0.20535104120079373,-0.08697174449579093,0.6418669585639185,0.2880633154936725
17,18.0,1.0055368449407018,0.9507577445040507,0.24412137768163233,-0.2688644170409368,0.06724490524892623,0.331960983853932
18,19.0,1.1977933339237965,1.3606436344480068,0.23024868037423485,-0.38335558868372244,0.11515465276941772,0.28157509351630233
19,20.0,1.419948076607663,1.2720433494255152,0.24229408673896702,-0.3613416819925779,0.07096189816243603,0.358792323272233
20,21.0,1.676183221216982,1.9689940572077482,0.2511097824625238,-0.4886081244619669,0.22475846873818595,0.32281963045500167
21,22.0,0.9794372666032108,0.8563473586810635,0.2164447430214308,0.01743845743302952,0.17738300979782878,0.38499390833806496
22,23.0,1.1993919989232658,1.1224895220966364,0.2003548779055878,-0.17886827391401072,0.04884302034988941,0.3451466080557895
23,24.0,1.3094344109353957,1.3074318152349484,0.1784029551900539,-0.17126922301818392,0.07132050878867024,0.3111489148708727
24,25.0,1.6094290390666708,1.6117840854841088,0.3291168510988197,-0.15459520148837824,0.7822018166425287,0.30531123800811627
