umixturecoef (nlDDM);umixturecoef (DDM)
0.007331129228863781;0.007492595493153931
0.028069251089060908;0.037184537777632545
0.005146513464780338;0.002792208697896361
0.016270299572805732;0.016473828838535307
0.027142495786213677;0.0020426848509523966
0.0031220029696567525;0.00281741754549921
0.00794273657393553;0.0
0.010276352201739301;0.014706350078366159
0.05980758317895244;0.060384539297793485
0.014438300714354806;0.002713051485494999
0.011539822343686045;0.012376321668975954
0.009397538663198061;0.01028565719260822
0.010326910828453252;0.010896466757197769
0.054348642448232946;0.05169641702868308
0.011858234655381996;0.014616338137335334
0.031919654543900125;0.047360688018115646
0.007231947895534737;0.007930085888525184
0.0;0.045519024911144186
0.03208628727661761;0.001295203937050952
0.028861340791468466;0.03032896673112564
0.014883713470530614;0.02185031188252279
0.024773272703479704;0.020998073092281334
0.033449214359650335;0.032870749248144274
0.0011030944311223867;0.0
0.010240549267715372;0.010760214208499494
