Subject;a;sz;nondectime (nl-DDM);B;x0;nondectime (DDM)
1;2.813600934104499;0.9221785974767834;0.35263806921504276;0.10286452049009309;-0.07665729110338049;0.336727465327898
2;1.7147223098208322;0.5402329261598784;0.34291293548959956;0.1766169632912964;0.13142854033692264;0.4278253645794465
3;1.3349420800362921;0.6534764331006476;0.29698491628192997;0.13893236168901602;-0.010559787887312488;0.3786187168964983
4;1.3999999773926934;0.7211165768740971;0.3165313606095568;0.10423436182105106;0.08956743631441877;0.36485154742992315
5;1.3881199675199885;0.6865705875002102;0.31167676197409944;0.10125202238734066;0.3698701121144905;0.3943320318141094
6;1.4551233067802658;0.5410516708287949;0.21425655481699887;0.13272122552734855;-0.28978905798630505;0.28247675509638037
7;2.065148920803173;0.6944614072642721;0.2034781421892548;0.11076690465439137;-0.26534346074699455;0.3125666215951618
8;1.610272912082971;0.8569411359257962;0.17740604430665496;0.1949802092280689;-0.12891668487459584;0.35646678207601157
9;1.7346686968706733;0.5185880650644082;0.31223385718996444;0.17998864362066735;0.28157602103135426;0.44252602460935936
10;1.0931525540261908;0.9967688262232026;0.28330394598072295;0.10069902363569533;-0.05576520340240021;0.31106304984542865
11;1.9850000678208148;0.711766199972008;0.33233059137961507;0.10357247424217714;-0.19801249109318442;0.3342944376568915
12;1.3200001222078126;0.9287781209218143;0.25717718776184884;0.17219425584128;-0.18838772748652544;0.27165695737819695
13;2.6204278615924648;0.9804934506908335;0.32107203924948263;0.24193626562446485;-0.010922282331229272;0.3798323043661061
14;1.9300635638144175;0.9730277833012331;0.2773206574594961;0.2624487344625102;0.2619458185835575;0.3736917499463604
15;1.3450355046022369;0.7861216248819025;0.30813279018668377;0.1400818196392734;-0.015823749979612;0.39527350754488844
16;1.6100972438321155;0.9704962509799648;0.21411587524586007;0.2832094862274983;-0.2011613531358064;0.2658470357023046
17;1.0497727892821913;0.480582534758986;0.26408349807425857;0.16046675000711447;-0.13557609724590192;0.3435384341920026
