Subject,k1,k2,z1,z2,z3,zNW,a0/B0,a1/B1,x0,sz,nondectime,vNW,v1,v2,v3,BA1,BA2,BS1,BS2,x0.1,sz.1,nondectime.1
1.0,9.784347166727546,9.817443188614238,-0.9882623886537844,-0.9291274258473936,-0.9614082373358314,-0.983329987682632,0.1795346188176561,0.1548685241454972,0.3520765052226502,0.0714485839459904,0.3539862885768493,0.6805695235454363,0.94048696138786,0.6246174241417077,0.4004606628788222,0.2074398778474001,0.1670366278605946,0.1684575781440846,0.145907327138467,0.0022568532954239,0.04752602706199,0.3503678730435098
3.0,5.292689156454285,8.85946036518871,-0.9227160775813912,-0.8192492622615732,-0.7765948466484898,-0.8341475919609128,1.1216545838402416,1.2400000206614687,-0.6422021503081847,0.4747180078524751,0.2195874779952787,0.7170053665356072,0.9990925719030156,0.7761903587120428,0.6313232373335332,0.3237183935112382,0.2631358505046979,0.1743024484903474,0.150384666507422,-0.1768988395937728,0.0180205494541768,0.3298408404523821
4.0,5.418990344877174,10.0,-1.0,-0.8547416438841298,-0.6263105334515686,-0.8840345143965443,1.1603920774062892,1.3365966694743652,-0.0948209955431271,0.93945924015173,0.320336383324396,0.8491223051684785,0.9946354338724012,0.9858493567825576,0.5628334145597025,0.22308388536212,0.1907310016176309,0.1502540466684339,0.1205072874929626,-0.1099930190380017,0.1281375039215141,0.3222571957850537
5.0,5.097451271337171,8.884886122923438,-0.9589369523749708,-0.8907894990868135,-0.8519482531570508,-0.8811963585494216,1.606891551326492,1.638904609182752,-0.7792620052773264,0.2900419182116827,0.2387886311508392,0.967519574792232,1.0,0.9908752236039609,0.7823093118112571,0.2650095925996862,0.2782281721476921,0.1550719370803288,0.1366121968407482,-0.2457310415946677,0.0222999465779386,0.3131087190909296
6.0,6.709262617029235,9.888354573284584,-0.8886279434184673,-0.8403732068560278,-0.8050244978401209,-0.8381550414082882,1.3360491064149265,1.3672750380860843,-0.7604487656063913,0.2942759610492045,0.1654006726634728,0.7745722355879295,1.0,0.8054119034349057,0.5733076960423666,0.2560104950096186,0.2556215294912482,0.1947455866515393,0.1692794522825726,-0.365125530602325,0.0130987335954159,0.2311403580042674
7.0,7.519068685014816,9.93951842701806,-0.795766017243185,-0.7349767786699581,-0.7080005630092148,-0.7693417500327455,1.1043388915770562,1.208385154066179,-0.6869016665140175,0.2149164338112243,0.1069274785629715,0.6166007704246911,0.851807670657615,0.5781409141071093,0.4187603093367233,0.2533170119054443,0.2350957515781657,0.2107820836333009,0.1655764847020382,-0.3287267532126584,0.0116571819690803,0.2047207128813344
8.0,4.537705588223345,9.932964996501864,-0.6190434432811397,-0.4736855210220362,-0.3803175601504273,-0.5434225369214056,0.805000001851503,0.9228787638898686,-0.3552942061041502,0.4880799405588751,0.1096647339017651,0.472928351913575,0.6437149032756811,0.3635051294354189,0.1956020300562447,0.3882964383062824,0.3151789521447926,0.2266841823172474,0.1875544477656296,-0.2712332050875694,0.0327505964130053,0.1768526148070823
9.0,5.421571356520389,9.25819233145637,-0.8667317755307148,-0.751899404632046,-0.6563570802444065,-0.7843724921213501,1.09733919080696,1.2159800392560476,-0.5291349071696834,0.5805003238737838,0.2738632314899775,0.6684622557847415,0.751970698443045,0.6170479196380878,0.3296534558798532,0.2813748139433982,0.248933934142526,0.1552007834900338,0.1305367204597113,-0.0519847518777869,0.0347640634247797,0.3670001982015066
10.0,5.595201906449857,9.37060885884618,-0.984247311914973,-0.7688863624792364,-0.701196136449018,-0.8448421139847785,1.212879128092046,1.2759270465706765,-0.5467633175932084,0.7500706936026673,0.2386615840100845,0.6583711682535686,0.999872622907198,0.7349723299629825,0.5847944889004769,0.2310107582600006,0.2458680750027431,0.1536927633280277,0.1322997274257046,-0.1775164248502195,0.0650882883746362,0.2827629646794985
11.0,5.935495938370913,9.971715629970468,-0.9730095221610072,-0.6676476779184688,-0.583886715911879,-0.7517197310128985,1.169334155696475,1.2342278981452344,-0.3494602377892499,0.8577324238121773,0.3096029639202755,0.750441095466985,1.0,0.7009597774737365,0.4741972192675887,0.2121443237235252,0.189963884921266,0.141990916433339,0.1312973111695002,-0.1955689889944173,0.0132013920068257,0.3333062959941762
12.0,9.825253093447998,9.971527063430992,-0.990067462078156,-0.9118714236873292,-0.6420864976463715,-0.9939281880753068,0.23898593554985,0.2027480300959259,0.1869413887644593,0.0546975002150677,0.2557628786317917,0.6056345189687924,0.9199720160422348,0.5570014815335258,0.3804500204759224,0.2586778922622538,0.2448588268990709,0.1922976400069748,0.1703135869422906,-0.2649240165556061,0.0369774084988195,0.2560647759509643
13.0,4.879937333373305,8.568054491535298,-0.8236414466839301,-0.6404538900034731,-0.4526107556196798,-0.6854380582814155,1.010732758020362,1.024962390866229,-0.2191099572122139,0.8525043846262408,0.292339381607757,0.4619807059625523,0.6249882573651311,0.514087885741194,0.2846025584936049,0.2530550010668007,0.2457241187470889,0.1622476344718736,0.1701754091253369,-0.0924504433795921,0.0166339553049803,0.3247597226481105
14.0,3.056783868142996,5.880793161652448,-0.9326713974897444,-0.7716204932434745,-0.6240730300507837,-0.7094310537113954,1.1885430577546876,1.2046275121653105,-0.2666096538861444,0.7904248931868072,0.2533877903223352,0.5388163885619621,0.7222894618613386,0.6327879775266735,0.4505751526098329,0.3016041526435758,0.3288970130526462,0.1885972288431234,0.1766049799412031,-0.1128048352571606,0.0134448054698341,0.2770210333569173
15.0,4.964505578600825,10.0,-0.850380102279284,-0.7405460249416771,-0.6135865090455755,-0.7336254701677711,0.9921662780204386,1.0615547706967907,-0.4646268612397438,0.6177508938210047,0.2496688245367173,0.7104002079850257,0.902661942957414,0.718978910758316,0.4827567472614701,0.331855072401244,0.2960924355153743,0.1771889350231082,0.1559643589940899,-0.2549204536665694,0.0163470429465977,0.3081803095918093
16.0,6.057287447296359,9.449910047368816,-0.7531376123087777,-0.6917783737420855,-0.6604374520925439,-0.693450599546363,0.9709236050059622,1.053931879365896,-0.5831122807218214,0.3002651047565508,0.1057043725873767,0.5989246325219475,0.7773058584482269,0.5937523482456298,0.4772485432330879,0.321901164141973,0.2804560533108589,0.2206445943443317,0.1800892207240704,-0.3129951537506235,0.012189472734377,0.2114906643467671
