Subject;Stimulus;a;k;z;Tnd;b;v;x0;sz
1;0;3.9421549209861846;0.7062060265677852;-0.9980309357863744;0.3842310752770064;0.3006620713267596;2.112278685031193;-0.3788579717400141;0.6439615395025022
2;0;1.805563747433912;2.6717450790973194;-0.9944847874058594;0.28308095830951363;0.24028837799117753;1.3273819341765323;-0.40866601421822424;0.026160161348788347
3;0;3.4154082254842706;0.9895434260606111;-0.9954359562224716;0.29862654604083655;0.286810726332964;2.083799016482125;-0.5042381729707534;0.34553294293228237
4;0;1.9124064586188816;6.1813793076808965;-0.9995414316170341;0.37341738122519386;0.14691322545523278;2.1185042046546907;-0.17646873015177134;0.3793900099637771
5;0;2.1216223162916097;2.4066584038943475;-0.9991635000367951;0.4352678392167934;0.21384785967563102;1.298506548356654;-0.24781870464962175;0.27501469597995176
6;0;3.6750000019372355;0.5740903848248028;-0.9990736643195554;0.37896559737818525;3.801619007233435;1.5987905429407505;0.8784669630773216;0.026310002168764057
7;0;1.9250616532357618;3.1777907508462526;-0.9976651276357159;0.33512276389265283;0.22878441651202275;1.4610777411520435;-0.21913867316303481;0.10361184610079999
8;0;1.890000009265556;2.827070782036594;-1.0;0.36558697426923714;0.2295579921313271;1.342596988627624;-0.26420192803233644;0.05798704346751882
9;0;2.100000000258091;2.65243896372634;-1.0;0.3425173692895139;0.1792753108477907;1.11652315034797;-0.0598382311773914;0.11250194051775275
10;0;1.676441292987575;4.283186090399562;-0.9942812346729919;0.4066135347928345;0.20802128262499453;1.5632384468588914;-0.36524499878947225;0.2962309163334031
11;0;2.300418561671876;1.3134701632157118;-0.9958966482890819;0.3720444588097595;0.35977675310186985;1.4799745624390745;-0.4874323945984521;0.2918773471100283
12;0;3.5390716071718917;1.0442911687956222;-0.99822114337238;0.35772851412619566;0.23641727064203133;2.0522754876286275;-0.4361796019058891;0.32213129102249494
13;0;2.677655540239282;1.6543631005654982;-0.9979529800578523;0.313046571542609;0.19531650400030953;1.3494014441675013;-0.24526852754332173;0.11849774958856019
14;0;3.5074284340788706;0.8713364987128687;-0.994873696451937;0.3027108500512951;0.19121693039197618;1.3834780998121374;-0.31337351388577483;0.040366342106596564
15;0;3.26554372015736;1.4316183053409626;-0.9900171169973657;0.3571220002203157;0.2016514027148606;1.7812346466553506;-0.30348299454716154;0.06983737970956455
16;0;1.4801788347143416;5.836247453792571;-0.9952033350271174;0.3283615303191646;0.17321831369051832;1.4750018382360885;-0.37564374632817366;0.04841069861868258
17;0;2.636298017679157;2.2659731627580304;-0.982105031322777;0.29536244933391664;0.17527595512732086;1.4936819187339723;-0.23019024794328302;0.019570503528916705
18;0;3.2252891205246557;0.7278997452910678;-0.9965664104393536;0.3819402056263562;0.23668342041114565;1.0408331745839605;-0.24809307566914607;0.1041315147762904
