,Subject,v0,v1,B,x0,sz,nondectime,halfwidth,umixturecoef
0,1.0,3.227589153225151,3.1597707641054087,1.8662713755211877,0.6642919925427093,0.4392653886279029,0.3523780327173286,0.06454979005336783,0.007492595493153931
1,2.0,2.148867529335689,2.583544485255923,0.7830698256279023,0.6670761479624716,0.9078839387225038,0.38698242590957266,0.07965424790350102,0.037184537777632545
2,3.0,1.8051559220463798,1.764936430885361,0.17361258729048856,-0.1312881847091717,0.21503243284580448,0.378920455208568,0.06205005797866692,0.002792208697896361
3,4.0,2.1512923610873007,1.6078881964106488,0.3824917534629746,0.6238048050585951,0.4021066051161983,0.3880918513912447,0.02012126653112986,0.016473828838535307
4,5.0,1.1751095468969415,1.4407325156054924,0.15625016546561987,-0.03150965143889728,0.2872848677519047,0.45463943573039584,0.10269238447831881,0.0020426848509523966
5,6.0,1.6758676231934693,1.056222871781488,0.6678584061105237,0.6565816104218125,0.6408154433964751,0.4704245051508735,0.08837251658885172,0.00281741754549921
6,7.0,1.5865651374390732,1.4004781342511265,0.22074012870463466,-0.17292501684794248,0.4746157800192341,0.33539555771029383,0.012567162386097855,0.0
7,8.0,2.5547641573942412,3.0027689455150655,1.2039458294042233,0.4362430887603246,0.4375400363103223,0.2800754724638887,0.01408037465140384,0.014706350078366159
8,9.0,1.2870177237768232,1.1125393695703918,0.29623251735660094,0.6533832971003657,0.6084402355584391,0.41346631355626434,0.08087354935064489,0.060384539297793485
9,10.0,1.6426327141578596,1.954505499300185,0.19211373123745235,-0.3757760041073691,0.48968980982558596,0.3979448017831681,0.05345495614916806,0.002713051485494999
10,11.0,1.687898745090012,1.7435563298196894,1.4736388112353136,0.7579386754389545,0.13610304134761142,0.41020473330163354,0.1338036825747493,0.012376321668975954
11,12.0,7.334359253385085,7.6332300088785585,1.9812538716322257,-0.3436187492203363,0.38178448088983363,0.14074586688943458,0.014329468924309974,0.01028565719260822
12,13.0,1.6665613747119807,2.088248205293673,0.7716396495413875,0.4462108859860705,0.08116003661784221,0.22629375316853154,0.001906455661719264,0.010896466757197769
13,14.0,2.544726870009557,2.8780569902213755,2.7672639083669073,0.6583773445081318,0.09917894627427415,0.10710393613899699,0.0384551090462024,0.05169641702868308
14,15.0,1.7977086545144583,2.10017780173745,1.1768218913791417,0.8076226912577682,0.14310133421410864,0.35680233972854786,0.05940487670374822,0.014616338137335334
15,16.0,8.11621432447188,8.301333861518081,1.828066699761344,0.11678668325808195,0.4661568122525555,0.27526553218083816,0.04141975108979008,0.047360688018115646
16,17.0,1.8688609491289099,2.5230925054870816,1.0422973439826526,0.7708145109333124,0.6930150571301196,0.2999296569933908,0.013265342538361674,0.007930085888525184
17,18.0,0.9476907152745329,0.8817580350032622,1.627811840277094,0.9115717937729246,0.018503939881550968,0.4736650999021911,0.11430221259535144,0.045519024911144186
18,19.0,1.2311344348951785,1.3499952203014063,0.15523772788810186,-0.1157104483067779,0.4610061214009261,0.395797820613611,0.10516025844746327,0.001295203937050952
19,20.0,5.121417959534777,5.249374094732057,1.7948031314408928,-0.2894231802111057,0.2699585317132415,0.1375641387528196,0.04734853355647766,0.03032896673112564
20,21.0,5.1182189762252275,5.658810925843482,2.6565114175413536,0.26081212382789953,0.16363833343046075,0.16393756066992,0.019383136441899082,0.02185031188252279
21,22.0,0.8553568106146612,1.0167427324624791,0.27924619832675956,0.6592711801303102,0.43908087230055337,0.49338894053412874,0.10064333564136406,0.020998073092281334
22,23.0,1.7778657555190203,1.8124987258022038,0.5064677397455655,0.19551131094065588,0.09864687412488332,0.3108345747451826,0.037210119625634905,0.032870749248144274
23,24.0,1.310314514649645,1.3563018859043205,0.15052831768210817,0.07066890469336284,0.5614809380986937,0.36981100450286936,0.05953815097994315,0.0
24,25.0,1.935931536141498,1.9506381430079527,2.1015173053480685,0.7489594155504182,0.4910973350198477,0.27197271099635933,0.0035752359932716,0.010760214208499494
