,a (nl-DDM),k (nl-DDM),z (nl-DDM),x0 (nl-DDM),sz (nl-DDM),drift,B,x0,sz
0,1.0,0.1,0.0,0.0,0.0,0.01,0.3908128390302661,-0.02787596610302856,0.07219684057307085
1,1.0,0.2,0.0,0.0,0.0,0.01,0.38912886252354184,-0.08278834324793061,0.02304102892381743
2,1.0,0.30000000000000004,0.0,0.0,0.0,0.01,0.39451430127760023,-0.06386447450360788,0.01979177132190313
3,1.0,0.4,0.0,0.0,0.0,0.01,0.3763581319458664,-0.03622973934485618,0.045187567251560035
4,1.0,0.5,0.0,0.0,0.0,0.01,0.3910424417006171,-0.04173414159697675,0.019506080122977387
5,1.0,0.6,0.0,0.0,0.0,0.12152784008012829,0.3851252364135309,-0.1700707379774936,0.03960847911115417
6,1.0,0.7000000000000001,0.0,0.0,0.0,0.09234792572284713,0.38764063910766655,-0.11822963981971446,0.029988938191118253
7,1.0,0.8,0.0,0.0,0.0,0.01,0.37162344934551506,-0.050243076492126115,0.013381804981735579
8,1.0,0.9,0.0,0.0,0.0,0.01,0.38246707661695645,-0.024611519921498792,0.031187623443734713
9,1.0,1.0,0.0,0.0,0.0,0.06366181698805749,0.37855717130586797,-0.09734092010477724,0.01999301904624562
10,1.0,1.1,0.0,0.0,0.0,0.04666497929479327,0.38969274566367584,-0.05031465235875232,-0.0020792115991350446
11,1.0,1.2000000000000002,0.0,0.0,0.0,0.06287627338488216,0.38277509699429046,-0.09715603362142611,0.011670445591537737
12,1.0,1.3000000000000003,0.0,0.0,0.0,0.01,0.38242852928904725,-0.019235855240239297,0.002748886721390731
13,1.0,1.4000000000000001,0.0,0.0,0.0,0.01,0.37847845816126124,-0.0070729184498291575,0.002542711687129273
14,1.0,1.5000000000000002,0.0,0.0,0.0,0.01,0.37099643877552513,-0.019878888801498462,-0.00032654084540739703
15,1.0,1.6,0.0,0.0,0.0,0.05984344360672449,0.3815480052208491,-0.06344096007160815,0.03145603797248486
16,1.0,1.7000000000000002,0.0,0.0,0.0,0.01,0.3796964485342027,-0.026292254677587112,0.010283592967053501
17,1.0,1.8000000000000003,0.0,0.0,0.0,0.01,0.3744057694701901,-0.03723704605828948,0.03898780301819538
18,1.0,1.9000000000000001,0.0,0.0,0.0,0.01,0.3699996424362846,-0.006681384766094145,0.038059436075795317
19,1.0,2.0,0.0,0.0,0.0,0.01,0.36456570854290327,-0.03396538170811103,0.01304909853799141
20,1.0,2.1,0.0,0.0,0.0,0.01,0.36931816200984,-0.0435576359833455,0.041456789694273466
21,1.0,2.2,0.0,0.0,0.0,0.01,0.37239816525451985,-0.026960448505483514,0.017886458894052604
22,1.0,2.3000000000000003,0.0,0.0,0.0,0.01,0.362320763453555,-0.027488433591404293,0.029623983764749173
23,1.0,2.4000000000000004,0.0,0.0,0.0,0.01,0.36419835173986126,-0.017081995306197806,0.04191113417481507
24,1.0,2.5000000000000004,0.0,0.0,0.0,0.01,0.3585026262400248,0.005949624811027565,0.019349889978247825
25,1.0,2.6,0.0,0.0,0.0,0.013915129776173372,0.35802375487935034,-0.04112776945216856,0.006072763825667238
